model_name,country,country_code,language,data_source,PC1,PC2,PC1_rescaled,PC2_rescaled
llama-3.2-3b-instruct,Libya,434.0,fr,Multilingual,0.157188944877444,1.5221962279882517,0.6645119902281736,2.4407359270610858
mistral-medium-3.1,Palestine,275.0,fr,Multilingual,-1.5309356955583477,-0.7180468334007227,-2.3909936089606094,-1.1660554017751636
mistral-nemo,Jordan,400.0,fr,Multilingual,0.5017750308867491,0.16745748367987937,1.288212805905016,0.2596065487246058
gpt-4o-mini,Morocco,504.0,fr,Multilingual,-0.21549496302601617,-0.5950797331895739,-0.010045883077089257,-0.9680783704352139
glm-4.6,Algeria,12.0,fr,Multilingual,-3.017457956371958,0.7059531870536422,-5.081598901033244,1.1265846311563639
deepseek-chat,Lebanon,422.0,fr,Multilingual,-1.7498469482755576,0.55352774222735,-2.7872229763787595,0.8811796649860336
claude-sonnet-4.5,Libya,434.0,fr,Multilingual,-1.944414121514193,-0.7252600135688884,-3.1393895599406894,-1.1776686218459103
gemini-2.5-flash,Palestine,275.0,fr,Multilingual,0.00871388868479312,-0.0160343305529713,0.39577213851947557,-0.0358152721902838
gpt-5.1,Lebanon,422.0,fr,Multilingual,-1.7440179620145067,0.5312828825382961,-2.7766725112462574,0.8453654408866569
qwq-32b,Palestine,275.0,fr,Multilingual,-1.323302106227375,2.0476586412064237,-2.015176812271549,3.2867304123423424
claude-3.7-sonnet,Egypt,818.0,fr,Multilingual,-1.094960151053571,-1.1133207782737065,-1.6018778734069636,-1.8024464530206674
deepseek-chat-v3.1,Tunisia,788.0,fr,Multilingual,-2.2985229425993654,0.05236577882785764,-3.7803265261048518,0.0743089039128508
gemma-3-4b-it,Algeria,12.0,fr,Multilingual,1.6866476242457848,0.6129137908347856,3.4328321998848708,0.9767912032440048
claude-sonnet-4.5,Tunisia,788.0,fr,Multilingual,-1.2621980091814027,-0.4320225204615277,-1.904578396618339,-0.7055562579430597
mistral-nemo,Iraq,368.0,fr,Multilingual,0.3477920635865963,-0.05277723978531279,1.0095036350917392,-0.0949713560543536
gemini-2.5-pro,Morocco,504.0,fr,Multilingual,-0.0800149036008798,-0.6217552843493179,0.23517302448240757,-1.011026007802402
kimi-k2,Egypt,818.0,fr,Multilingual,-1.094960151053571,-1.1133207782737065,-1.6018778734069636,-1.8024464530206674
kimi-k2,Algeria,12.0,fr,Multilingual,-1.22692792661913,-1.1765955919474818,-1.8407395471806254,-1.9043189030354457
doubao-1-5-pro-32k-250115,Morocco,504.0,fr,Multilingual,-1.4203832913723764,-1.3900353190190653,-2.1908937573840013,-2.2479568636206952
qwq-32b,Iraq,368.0,fr,Multilingual,-3.017457956371958,0.7059531870536422,-5.081598901033244,1.1265846311563639
deepseek-chat-v3.1,Palestine,275.0,fr,Multilingual,-2.173072094331237,-0.031275769504415296,-3.553260490739539,-0.060353988902108635
gpt-4o-mini,Palestine,275.0,fr,Multilingual,-1.1578683973894466,0.2251454996375529,-1.7157417992748987,0.3524842544164602
gpt-5.1,Palestine,275.0,fr,Multilingual,-1.414471814455178,-0.6147244680617353,-2.1801939841638722,-0.999706393579394
gpt-4o-mini,Qatar,634.0,fr,Multilingual,-0.5362545078225608,-1.2780769452208536,-0.5906206591588351,-2.067703881805574
gpt-4o-mini,Kuwait,414.0,fr,Multilingual,-0.6527183889257309,-1.381399310559841,-0.801420283955573,-2.234052890001344
kimi-k2,Jordan,400.0,fr,Multilingual,-1.3039194102692062,-1.2867129536800777,-1.9800941325872636,-2.081607855424925
doubao-1-5-pro-32k-250115,Algeria,12.0,fr,Multilingual,-1.4107083831710385,-1.4078380109952238,-2.1733821735395797,-2.2766191977023102
claude-3-7-sonnet-20250219,Algeria,12.0,fr,Multilingual,-1.7467714580277982,-0.40874702240124045,-2.781656339030315,-0.6680827060659972
grok-4.1-fast,Yemen,887.0,fr,Multilingual,-3.433266010892086,0.6548969089754928,-5.834211479714676,1.0443840234505435
gpt-4o,Algeria,12.0,fr,Multilingual,-1.8237629416778744,-0.5188643841338364,-2.921010924436953,-0.8453716584554767
gemma-3-4b-it,Libya,434.0,fr,Multilingual,0.3088191382876439,-0.04704909442173993,0.9389626403006355,-0.08574904201900128
gpt-4o,Egypt,818.0,fr,Multilingual,-1.7072990605747045,-0.41554201879484903,-2.7102112996402155,-0.679022650259707
gemini-2.5-flash,Morocco,504.0,fr,Multilingual,-0.27705367302337425,0.06706667838453133,-0.12146714817230742,0.09797735219909545
mistral-medium-3.1,Iraq,368.0,fr,Multilingual,-2.0721945983466035,-0.6854615631465995,-3.3706722230073525,-1.1135931166660251
grok-4.1-fast,Kuwait,414.0,fr,Multilingual,-1.2418288375153044,-2.2144543925925206,-1.867710195902701,-3.5752715720739583
deepseek-chat,Jordan,400.0,fr,Multilingual,-1.1719516347036474,-1.2234381400063028,-1.741232458813602,-1.9797354054101477
grok-4.1-fast,Iraq,368.0,fr,Multilingual,-3.017457956371958,0.7059531870536422,-5.081598901033244,1.1265846311563639
claude-sonnet-4.5,Iraq,368.0,fr,Multilingual,-1.648412455441187,-0.7241315627887814,-2.6036265443485487,-1.1758518160899383
deepseek-chat-v3.1,Libya,434.0,fr,Multilingual,-2.5454514514637583,-0.8053068808475886,-4.2272671271494024,-1.3065440781646178
deepseek-chat,Qatar,634.0,fr,Multilingual,-0.48383884326999654,-2.188015692157138,-0.4957483063186937,-3.532705264372992
gemini-3-pro-preview,Kuwait,414.0,fr,Multilingual,-1.3039194102692062,-1.2867129536800777,-1.9800941325872636,-2.081607855424925
mistral-nemo,Yemen,887.0,fr,Multilingual,-0.09024903589509205,-0.428371978156764,0.2166492450298834,-0.69967888483239
gemini-3-pro-preview,Iraq,368.0,fr,Multilingual,-1.9557307172434335,-0.5821391978076118,-3.159872598210615,-0.9472441084702551
kimi-k2,Palestine,275.0,fr,Multilingual,-1.3892930117914513,-0.672574711703106,-2.134620351342527,-1.0928452858420008
deepseek-chat,Tunisia,788.0,fr,Multilingual,-1.8663108293787276,0.45020537688836254,-2.998022601175497,0.7148306567902637
gpt-4o,Kuwait,414.0,fr,Multilingual,-1.9557307172434335,-0.5821391978076118,-3.159872598210615,-0.9472441084702551
mistral-medium-3.1,Tunisia,788.0,fr,Multilingual,-1.639982485125966,-0.2876219650860944,-2.5883682980779983,-0.473071363788612
gpt-5.1,Kuwait,414.0,fr,Multilingual,-1.3039194102692062,-1.2867129536800777,-1.9800941325872636,-2.081607855424925
gemma-3-4b-it,Iraq,368.0,fr,Multilingual,0.31849404648898183,-0.0648517863978984,0.9564742241450571,-0.11441137610061643
gpt-4o-mini,Lebanon,422.0,fr,Multilingual,-1.354849415842228,0.40661241105168927,-2.072277442674433,0.6446459817932197
claude-sonnet-4.5,Lebanon,422.0,fr,Multilingual,-1.1457341280782323,-0.32870015512254,-1.6937787718216004,-0.5392072497472895
llama-3.3-70b-instruct,Qatar,634.0,fr,Multilingual,-0.01058199015284127,-2.068170374456149,0.3608465978233573,-3.3397543028744
mistral-nemo,Egypt,818.0,fr,Multilingual,0.3477920635865963,-0.05277723978531279,1.0095036350917392,-0.0949713560543536
gpt-5.1,Yemen,887.0,fr,Multilingual,-2.0721945983466035,-0.6854615631465995,-3.3706722230073525,-1.1135931166660251
claude-sonnet-4.5,Qatar,634.0,fr,Multilingual,-1.2959453218839172,-1.3764392314004095,-1.9656610326098902,-2.226067162554659
kimi-k2,Qatar,634.0,fr,Multilingual,-0.01058199015284127,-2.068170374456149,0.3608465978233573,-3.3397543028744
gemini-2.5-pro,Qatar,634.0,fr,Multilingual,0.007145442371922462,-0.24979360206117568,0.39293325069317964,-0.4121676993184929
gemini-2.5-flash,Iraq,368.0,fr,Multilingual,-3.006822028654075,0.6863821336542967,-5.062347871863876,1.0950752351834177
qwen3-max,Egypt,818.0,fr,Multilingual,-2.1147424860474566,0.28360819787559993,-3.4476838997458965,0.4466091985797159
glm-4.6,Qatar,634.0,fr,Multilingual,-1.2418288375153044,-2.2144543925925206,-1.867710195902701,-3.5752715720739583
glm-4.6,Morocco,504.0,fr,Multilingual,-1.8936401444895314,-1.5098806367200546,-3.047488661526052,-2.4409078251192877
kimi-k2,Iraq,368.0,fr,Multilingual,-1.9557307172434335,-0.5821391978076118,-3.159872598210615,-0.9472441084702551
qwq-32b,Kuwait,414.0,fr,Multilingual,-1.135650150244224,-1.483441936284672,-1.6755267719420455,-2.398341517418322
gpt-4o,Qatar,634.0,fr,Multilingual,-2.5454514514637583,-0.8053068808475886,-4.2272671271494024,-1.3065440781646178
gpt-4o-mini,Jordan,400.0,fr,Multilingual,0.005004394965694891,-1.3106622154749767,0.38905795488790773,-2.1201661669147125
claude-3.7-sonnet,Jordan,400.0,fr,Multilingual,-1.3039194102692062,-1.2867129536800777,-1.9800941325872636,-2.081607855424925
gemma-3-4b-it,Morocco,504.0,fr,Multilingual,1.0668091325329518,-0.02061039398635697,2.310924529884643,-0.043182734318034724
doubao-1-5-pro-32k-250115,Jordan,400.0,fr,Multilingual,-1.353066715923638,-1.262115265310311,-2.069050755821785,-2.0420055771496006
claude-sonnet-4.5,Palestine,275.0,fr,Multilingual,-0.22063826003752693,-1.2737846823716483,-0.019355250667923762,-2.0607933386183537
gemma-3-4b-it,Palestine,275.0,fr,Multilingual,1.4517472629944264,0.4013720780667579,3.007662546019912,0.6362090456874803
grok-4.1-fast,Lebanon,422.0,fr,Multilingual,-2.544201103254803,0.8257985047546315,-4.225003996891194,1.3195355926549568
doubao-1-5-pro-32k-250115,Kuwait,414.0,fr,Multilingual,-1.2418288375153044,-2.2144543925925206,-1.867710195902701,-3.5752715720739583
gpt-5.1,Morocco,504.0,fr,Multilingual,-1.0554877536004772,-1.120115774667315,-1.5304328340168638,-1.813386397214377
qwq-32b,Morocco,504.0,fr,Multilingual,-0.5826483174637012,-0.31344935191154966,-0.6745934546092992,-0.514653456577595
gpt-4o-mini,Iraq,368.0,fr,Multilingual,-1.6467116356251381,-0.6522079770446081,-2.6005480604815,-1.060054843041819
gemini-2.5-pro,Yemen,887.0,fr,Multilingual,-0.7149622955510057,-0.47782155115099867,-0.9140817549473202,-0.7792926973531079
deepseek-chat-v3.1,Morocco,504.0,fr,Multilingual,-2.0721945983466035,-0.6854615631465995,-3.3706722230073525,-1.1135931166660251
gemini-2.5-flash,Yemen,887.0,fr,Multilingual,-0.47537112296366685,0.1355006574976351,-0.48042173256423704,0.20815605857119251
glm-4.6,Libya,434.0,fr,Multilingual,-3.017457956371958,0.7059531870536422,-5.081598901033244,1.1265846311563639
grok-4.1-fast,Libya,434.0,fr,Multilingual,-3.017457956371958,0.7059531870536422,-5.081598901033244,1.1265846311563639
kimi-k2,Lebanon,422.0,fr,Multilingual,-1.3309634035076707,-0.357690744323091,-2.029043760348884,-0.5858820983601766
deepseek-chat-v3.1,Kuwait,414.0,fr,Multilingual,-1.2418288375153044,-2.2144543925925206,-1.867710195902701,-3.5752715720739583
llama-3.2-3b-instruct,Lebanon,422.0,fr,Multilingual,0.8090002518516712,0.8176224721157854,1.844290455851525,1.3063721801064145
gpt-5.1,Algeria,12.0,fr,Multilingual,-1.3039194102692062,-1.2867129536800777,-1.9800941325872636,-2.081607855424925
doubao-1-5-pro-32k-250115,Iraq,368.0,fr,Multilingual,-1.5309356955583477,-0.7180468334007227,-2.3909936089606094,-1.1660554017751636
gpt-4o,Palestine,275.0,fr,Multilingual,-1.414471814455178,-0.6147244680617353,-2.1801939841638722,-0.999706393579394
llama-3.3-70b-instruct,Lebanon,422.0,fr,Multilingual,-1.0403939740539299,-0.0053232679602027485,-1.503113093037613,-0.018570461415926425
claude-sonnet-4.5,Algeria,12.0,fr,Multilingual,-1.2254791077415998,-1.3788474217946731,-1.8381171850122957,-2.2299443490894237
gemini-2.5-flash,Egypt,818.0,fr,Multilingual,-1.3039194102692062,-1.2867129536800777,-1.9800941325872636,-2.081607855424925
mistral-medium-3.1,Algeria,12.0,fr,Multilingual,-0.5847915278462407,-1.8633666558437896,-0.6784726654016956,-3.010020315908501
doubao-1-5-pro-32k-250115,Palestine,275.0,fr,Multilingual,-1.515349310439811,0.03946132558044893,-2.362782251896058,0.05353273418452278
llama-3.3-70b-instruct,Kuwait,414.0,fr,Multilingual,-1.3039194102692062,-1.2867129536800777,-1.9800941325872636,-2.081607855424925
gemma-3-4b-it,Kuwait,414.0,fr,Multilingual,1.0764840407342895,-0.03841308596251541,2.328436113729064,-0.07184506839964981
gemini-3-pro-preview,Lebanon,422.0,fr,Multilingual,-2.8802641781115623,1.8248894933486146,-4.833278162381928,2.9280720842912697
glm-4.6,Lebanon,422.0,fr,Multilingual,-1.7838085608954328,0.9477358669006853,-2.8486934952207337,1.5158547457101035
llama-3.2-3b-instruct,Palestine,275.0,fr,Multilingual,0.8090002518516712,0.8176224721157854,1.844290455851525,1.3063721801064145
qwq-32b,Yemen,887.0,fr,Multilingual,-3.669269263346185,1.4105269429261083,-6.261377366656595,2.2609483781110344
glm-4.6,Kuwait,414.0,fr,Multilingual,-1.8936401444895314,-1.5098806367200546,-3.047488661526052,-2.4409078251192877
doubao-1-5-pro-32k-250115,Egypt,818.0,fr,Multilingual,-1.4203832913723764,-1.3900353190190653,-2.1908937573840013,-2.2479568636206952
gemma-3-4b-it,Egypt,818.0,fr,Multilingual,1.058722329606115,0.5531843913324712,2.2962874165870684,0.8806268700452787
qwen3-max,Yemen,887.0,fr,Multilingual,-3.669269263346185,1.4105269429261083,-6.261377366656595,2.2609483781110344
gpt-5.1,Libya,434.0,fr,Multilingual,-1.4203832913723764,-1.3900353190190653,-2.1908937573840013,-2.2479568636206952
