cultural_region,n_countries,advantage_mean,advantage_std
Confucian,8,24.648680866808007,24.12085195472089
Orthodox Europe,3,22.373133444604317,23.89191145375499
African-Islamic,10,5.398297276683564,14.272747458859733
Latin America,7,-9.56441232283373,16.856240022754186
Catholic Europe,1,-33.89247720543461,
