language,dist_mean,dist_std,n_records
ja,1.7214297428457552,0.8160638772268475,10
ru,1.755170123613592,0.9721719290615581,60
ar,1.8055880142865501,0.8247332470781578,70
ko,1.8713349737929672,0.6216253329802972,10
en,1.914573455951117,1.1859359494436734,280
zh-cn,2.0517348880375392,1.3180887938434704,50
zh-hk,2.0703156099547932,1.1919074643223424,20
es,2.3370088422298787,1.2179982692510853,80
en-native,3.2390064484404553,1.095366892981795,50
zh-tw,3.2835371117909773,1.314253797840986,10
