country,mean,count
Jordan,-247.82686460680418,19
Libya,-110.48869333184166,18
Lebanon,-41.33068355887359,19
Yemen,-34.817338868682036,18
Iraq,-25.936800007672144,19
Tunisia,-24.02056756909887,18
Algeria,-19.666319038226998,19
Kuwait,-10.369279609148007,19
Qatar,-9.864889460021695,18
Morocco,-8.922330052878166,19
Egypt,-2.7497516908057484,19
