country,cultural_region,n_ar,n_fr,n_en,n_paired_ar_fr,n_paired_ar_en,d_ar_mean,d_fr_mean,d_en_mean,fr_advantage_pct,en_advantage_pct,fr_t,fr_p,fr_n_positive,en_t,en_p,en_n_positive
Algeria,African-Islamic,10,0,10,0,10,1.6673855654970324,,1.4299130538033293,,14.242207477843596,,,0,1.4640226380156494,0.1772216829532081,7
Egypt,African-Islamic,10,0,10,0,10,1.9900345980717908,,1.9843202055614575,,0.2871504101421254,,,0,0.02913295863696373,0.9773943430339277,3
Iraq,African-Islamic,10,0,10,0,10,1.748402382527381,,1.8138043903505827,,-3.74067254064598,,,0,-0.17733774681274425,0.863170028087876,6
Jordan,African-Islamic,10,0,10,0,10,1.1518779280863547,,0.9200853959704263,,20.123011862985475,,,0,1.0306500378225536,0.32960544415821263,4
Lebanon,African-Islamic,10,0,10,0,10,2.0229115552021697,,2.1635887467763135,,-6.954193880220559,,,0,-0.3235495064963742,0.7536707795691999,5
Morocco,African-Islamic,10,0,10,0,10,1.5723902391792537,,1.7784078299735708,,-13.10219216966476,,,0,-1.061903051608211,0.3159424905227403,3
Tunisia,African-Islamic,10,0,10,0,10,2.486113831441868,,2.567068637608208,,-3.2562791430748304,,,0,-0.34089438066906963,0.7410059610088732,4
