country,stage1_PC1,stage1_PC2,stage3_PC1,stage3_PC2,PC1_diff,PC2_diff,distance
Uruguay,1.4373250895774359,-0.12517588427958573,1.4379558114126474,-0.12753837117284336,0.0006307218352115118,-0.0023624868932576315,0.002445230940877911
South Africa,-0.01769054442436411,-0.8445139030637431,-0.019146956855268845,-0.84435351342894,-0.0014564124309047362,0.00016038963480302648,0.001465217391326656
Singapore,0.3463254581825379,-0.04574471382045373,0.3497787893010002,-0.046821437442101245,0.0034533311184622995,-0.001076723621647513,0.003617295892120772
Rwanda,-1.1913142687034475,-1.6113103612636732,-1.1963282635711538,-1.6085896472612766,-0.005013994867706373,0.002720714002396596,0.005704597200173098
Japan,1.7060465449200806,2.1182738602617777,1.719380758544747,2.113923526061735,0.013334213624666358,-0.004350334200042827,0.014025928156107894
Ethiopia,-1.1153868617136455,-1.2782529892474221,-1.1181092327786903,-1.2756399662312812,-0.002722371065044804,0.0026130230161409695,0.0037734855900977853
Malta,-0.2817419412150437,-1.5034317320230401,-0.2923852093153392,-1.5036805796891546,-0.010643268100295478,-0.00024884766611443787,0.010646176826246027
Ghana,-1.2028386134622318,-2.355677458443383,-1.2109939574055988,-2.3531393009203248,-0.008155343943367033,0.002538157523058082,0.008541187180156496
Libya,-1.3865170221601528,-2.017920825432063,-1.3932686648019994,-2.01510874337221,-0.006751642641846578,0.0028120820598527274,0.007313855609358623
Iceland,3.9963563549894023,1.1559530068161306,3.9956052359730543,1.1456843649498285,-0.0007511190163480563,-0.010268641866302053,0.010296076221313195
Moldova,-1.8976899831819594,0.5077045175255532,-1.898729826312189,0.5119477234382507,-0.0010398431302296451,0.004243205912697445,0.0043687607113501135
Iran,-1.4042955746256136,-0.9773218020663095,-1.4060778452289115,-0.9735999859174309,-0.0017822706032979418,0.003721816148878565,0.0041265486728540215
India,-0.6529013839930439,-0.9288538735017657,-0.6534183949598017,-0.9277944738965026,-0.0005170109667578249,0.0010593996052631338,0.0011788247806097157
Argentina,0.7567549099096222,-0.18709922575212112,0.7571301177141462,-0.1882404646272695,0.000375207804523936,-0.001141238875148387,0.001201335534613718
Montenegro,-0.2564887604266388,0.03181887047170456,-0.2613006506716572,0.03138596378101433,-0.00481189024501838,-0.00043290669069023097,0.004831324449149261
"Taiwan, Province of China",-0.15490792160465594,1.35064817731449,-0.14580579273390112,1.3501422468272242,0.009102128870754816,-0.0005059304872658821,0.009116178784873268
Austria,2.171234737054986,1.1034899962745524,2.1702985422931187,1.097485335405872,-0.0009361947618673483,-0.006004660868680345,0.006077204355623468
Peru,-0.5384933701317653,-1.0322475216655764,-0.5421567863226545,-1.0300702202767704,-0.0036634161908891683,0.0021773013888060078,0.004261602929106075
Hong Kong,0.6066381532306219,1.7837595497721679,0.6160047802677363,1.782627725050461,0.009366627037114439,-0.00113182472170692,0.009434761748611895
Morocco,-1.455648890384984,-0.9724022238755106,-1.458339702165126,-0.9689899512504525,-0.0026908117801420772,0.003412272625058055,0.0043455808016733466
Kazakhstan,-0.697614764480676,-0.5545094834714991,-0.6958400042868327,-0.5537324780786951,0.0017747601938433721,0.0007770053928040088,0.0019373980298579526
Philippines,-0.052852597986217296,-1.720817189573725,-0.057817299618950636,-1.7206967435015195,-0.00496470163273334,0.00012044607220551562,0.004966162457912027
Maldives,-0.823663431011505,-1.4869093819819086,-0.8295445685001561,-1.4849896228435355,-0.005881137488651156,0.0019197591383730561,0.006186538071473001
Albania,-1.012518864984271,-0.2886973274225252,-1.0191347526117942,-0.2866914917171531,-0.006615887627523298,0.0020058357053721054,0.006913273173899717
Turkey,-1.1349684146508994,-1.097178474238253,-1.1390738358460741,-1.095005487165096,-0.004105421195174763,0.002172987073157051,0.004645035630638136
Uzbekistan,-0.08308854186580054,-2.0159501751105573,-0.0858018509946989,-2.0159184241763657,-0.0027133091288983613,3.1750934191610014e-05,0.002713494896030804
Zimbabwe,-1.7217417889156807,-1.310021071616627,-1.72648270965219,-1.3056261822984143,-0.004740920736509224,0.004394889318212636,0.006464625398985056
Tunisia,-1.9271277084406158,-0.9442858034873635,-1.9296245102937308,-0.9401010471140261,-0.0024968018531150715,0.004184756373337373,0.004873007838892383
Palestine,-1.7382456191507845,-1.0527858062672386,-1.7420231659957852,-1.0486755387059434,-0.0037775468450007565,0.004110267561295178,0.005582486864436904
Norway,4.193068287064237,1.775606219030352,4.197856673153381,1.764986093064396,0.004788386089144225,-0.010620125965956184,0.011649708874967078
Germany,2.315265335940496,1.835015979549089,2.3204309760274406,1.8304874967244347,0.005165640086944645,-0.004528482824654345,0.006869570161301133
United States of America,2.083331642618362,0.3218169517765834,2.085319550333372,0.3180471702769885,0.0019879077150100066,-0.0037697814995949486,0.004261810605609387
Croatia,0.4408285572277692,0.45352768133023175,0.43649817297711685,0.45232704443806326,-0.004330384250652353,-0.001200636892168483,0.004493746399735296
Russian Federation,-0.7172868710087348,0.465347634119726,-0.7158372211199674,0.4666024328560658,0.0014496498887673903,0.0012547987363397684,0.0019172909713246935
"Korea, Republic of",0.024201801877646117,1.3416346456018566,0.03254970144320571,1.3411866547074534,0.008347899565559591,-0.0004479908944032829,0.008359911662101356
Ecuador,-0.19374924728845716,-2.0836600529518625,-0.20062654611133612,-2.083456750011949,-0.006877298822878963,0.0002033029399135522,0.006880303131734086
Serbia,-0.25530042144292653,0.5983803517380629,-0.2559200288666429,0.5989907689213776,-0.0006196074237163618,0.000610417183314671,0.0008697830173153784
Algeria,-1.1706383545683765,-0.8798837916473363,-1.1728129148765756,-0.8771570615775695,-0.0021745603081990694,0.0027267300697668695,0.0034876595888024492
Brazil,-0.002865477144737322,-0.3617932901895715,-0.005063610058285346,-0.3609990431885654,-0.002198132913548024,0.0007942470010061098,0.002337224123662582
Belgium,2.414948385007417,0.9036150402187184,2.412178848490773,0.8977334353143189,-0.0027695365166438,-0.0058816049043994845,0.0065010467440620315
Australia,3.3721445203428053,0.7189674986208311,3.3761462860441998,0.712354083184892,0.004001765701394433,-0.006613415435939074,0.007729902486912373
Thailand,0.13892297337348705,-0.370531584550433,0.14162764364539004,-0.37213819481616145,0.0027046702719029925,-0.0016066102657284476,0.0031458604269197703
Netherlands,3.4057485975771766,1.5880062316826373,3.4096047665802347,1.5804458579474165,0.003856169003058074,-0.007560373735220782,0.008487007151897668
China,0.007378668666779687,0.7047612709509699,0.014327628872568457,0.7041147214461605,0.00694896020578877,-0.0006465495048093572,0.006978973721386629
Colombia,0.12365428436800623,-1.960000925245448,0.11656944686243108,-1.9599582837962308,-0.007084837505575148,4.264144921717339e-05,0.007084965827270843
Nicaragua,-0.5311941554399454,-1.9529320216561643,-0.5383086911985706,-1.9516437443929358,-0.007114535758625196,0.0012882772632285544,0.007230233562458978
Guatemala,0.32993467582433067,-1.0912415514948186,0.3266250562319653,-1.09219127269439,-0.003309619592365365,-0.0009497211995714849,0.0034431892488046866
Luxembourg,2.2777526541952335,0.9558079613681763,2.275495773279853,0.9497982696425501,-0.002256880915380677,-0.006009691725626154,0.006419494224880102
Hungary,0.1882998952601457,0.844619682199684,0.1882670337245906,0.8437128655305746,-3.286153555509541e-05,-0.0009068166691094115,0.000907411897593219
Puerto Rico,0.8739430669682984,-1.5939890585028247,0.8685649019596354,-1.5955394236326155,-0.0053781650086629496,-0.0015503651297907872,0.00559716811397315
Kyrgyzstan,-0.8978393899851624,-1.5967565053031505,-0.8993673673881581,-1.5958488188898505,-0.001527977402995706,0.0009076864132999685,0.0017772477511463795
Spain,1.6710847877206636,0.7933110579214016,1.6710030565906615,0.7897252261426098,-8.173113000209398e-05,-0.0035858317787917926,0.0035867630983108614
Jordan,-1.7928725245639652,-2.0077689074078666,-1.79953090430314,-2.0041508984425644,-0.0066583797391748245,0.0036180089653021774,0.007577863130464995
New Zealand,3.423101110131497,0.8055766749806861,3.4278904534547365,0.7986518635210526,0.004789343323239326,-0.006924811459633529,0.00841966883073966
Italy,1.1389265242534,0.5317781781217645,1.1362034175321178,0.5293999803205119,-0.0027231067212820648,-0.0023781978012525906,0.003615402466859563
Belarus,-0.3650420874700153,0.5155900749114465,-0.36511097303437345,0.5155820207949904,-6.888556435813431e-05,-8.0541164561021e-06,6.935481071149368e-05
Czechia,1.532168943244422,1.818274978739961,1.5346941750140044,1.8143764808240488,0.0025252317695823034,-0.0038984979159122357,0.004644898437046801
Haiti,0.2765572372655246,-0.7082437844814549,0.2733838885440292,-0.7078613228536812,-0.0031733487214954392,0.000382461627773667,0.0031963133458620765
Poland,0.18207366964947463,-0.3533633456970457,0.17857977130411182,-0.35436646820599216,-0.003493898345362817,-0.0010031225089464635,0.003635048887660808
Qatar,-0.6791841757059588,-2.7273203939633732,-0.687687303426107,-2.7265517853193906,-0.008503127720148163,0.0007686086439826489,0.008537794813226477
Mali,-0.24626443191613545,-1.4322312582079606,-0.2506513085868082,-1.431766303555368,-0.004386876670672724,0.000464954652592553,0.004411447580178196
Iraq,-1.5066854982259683,-0.880851750510932,-1.5109469637747386,-0.876635837069271,-0.004261465548770271,0.004215913441661057,0.005994498708894205
Kuwait,0.02926601499899263,-1.3354592577564095,0.025374866326992245,-1.3358757349363894,-0.0038911486720003864,-0.00041647717997994604,0.003913373382269371
Egypt,-2.1147617880739973,-0.8955747725659926,-2.118176472419487,-0.890043924191176,-0.00341468434548986,0.005530848374816655,0.006500027147985272
Mongolia,0.6365935011148998,1.2479719577997905,0.6423612730765556,1.2473578629845665,0.005767771961655788,-0.0006140948152240089,0.005800371181549303
Malaysia,-0.5742040463885743,-0.8429698737278211,-0.5749048214461496,-0.8419435777912568,-0.0007007750575753757,0.0010262959365642255,0.0012427264504821693
Portugal,-0.07538047467899399,-0.25494897969936753,-0.0822410303043107,-0.25514092069018085,-0.0068605556253167055,-0.00019194099081332183,0.006863240111785329
Bosnia and Herzegovina,-0.685372217923364,0.1861079497962117,-0.689854654352149,0.18673962041774053,-0.004482436428784986,0.0006316706215288292,0.004526725539747392
Indonesia,-1.2573122236511693,-1.3300418106064589,-1.2588589756623845,-1.3285675028329793,-0.0015467520112151245,0.0014743077734795662,0.002136825962763535
Armenia,-1.2431707221832975,-1.020507512503057,-1.248466669104498,-1.018502105207684,-0.005295946921200612,0.0020054072953730184,0.00566292435164991
Kenya,-0.17607400845505575,-0.9395733394493447,-0.17908726085753762,-0.938900634862715,-0.003013252402481875,0.0006727045866297132,0.003087429594652394
Zambia,-0.9866468608048025,-0.5122826229815872,-0.9886141757917605,-0.5091843351172239,-0.001967314986958013,0.0030982878643632805,0.0036701111629445756
