country,native_lang,dist_to_west,native_dist,english_dist,english_advantage
Algeria,ar,1.8025667527593898,2.0157347274092006,1.9072696641581393,5.380919511689425
Argentina,es,0.27935186648544225,3.0100077479687988,3.1638279493237405,-5.110292538573763
Austria,de,2.193551378681833,2.528777275683918,2.2800774481296915,9.83478576566079
Belgium,fr,2.257835481801698,2.5908143290985097,3.007327061582965,-16.076518020084578
Bolivia,es,1.5129718686119762,2.2533028676833564,2.1259162442519512,5.653328953616104
Brazil,pt,0.5673667739148827,2.3539245213511184,2.7089002647161364,-15.080166765978847
Belarus,ru,1.2966758306584516,1.7181315805780168,1.345887448318758,21.66563588418693
Chile,es,0.4243899538674081,2.3040271638402148,2.4524262763684974,-6.440857766665384
China,zh-cn,1.2273056262420423,1.1459173533701434,1.0028562356550583,12.484418470000676
Colombia,es,1.6313667546056085,2.4836528279597676,2.114688581340641,14.855709399699697
Ecuador,es,1.8561599666635977,2.583733816639306,2.336798737340649,9.557295635811608
France,fr,2.6526115383416,2.386514445672396,2.7789364529488974,-16.44331162495592
Palestine,ar,2.3958353183160264,2.0142087927691312,1.6138864510407518,19.874917792311734
Germany,de,2.830966426143466,2.242997213398743,2.5768729731023905,-14.885250757745528
Guatemala,es,0.7400364418949823,1.6124440849927564,1.7139511778523764,-6.295231803965222
Haiti,fr,0.42936842436565364,2.459038393284244,1.832446513521885,25.48117514039685
Iraq,ar,2.128111763885634,2.0427481077327805,1.9216803738237669,5.926708900168073
Italy,it,1.0857345925119677,2.1354530695780536,2.400874082145782,-12.429259923758163
Japan,ja,2.7553175080706986,1.8356099195558582,1.6944801097141082,7.688442317630181
Kazakhstan,ru,1.2722492840988011,1.740554252636414,1.3386921196098414,23.088170473162375
Jordan,ar,2.8590294802106673,2.0110941072575046,1.4092763486064057,29.924892946545782
"Korea, Republic of",ko,1.8129547056512163,1.8327377854867324,1.9255973100879853,-5.066710870294606
Kuwait,ar,1.0868690610693437,2.5698966768095595,2.146532099773615,16.473992159153166
Kyrgyzstan,ru,1.8960064226548619,1.8323144336814323,1.603604532702252,12.482022559832332
Lebanon,ar,1.7392485239276374,2.551841077085523,1.9381613342493882,24.048509460354914
Libya,ar,2.5410261999091888,2.392594812468888,2.0304500644934045,15.136066754311441
Luxembourg,fr,2.1786201291543215,2.8727539248564207,3.120548726063711,-8.62568837042577
Macao,zh-cn,2.0870198366373467,1.3092925214804125,1.5140914776280716,-15.641955696508036
Mali,fr,1.320720885916488,2.0045488045625217,1.8027999848220648,10.064550151199093
Mexico,es,1.2135006572197846,2.0780514105377805,2.0733841746856996,0.2245967461831522
Morocco,ar,2.1020306259096615,2.171261801073572,1.839815958241544,15.265125682593672
Nicaragua,es,1.9090671887778767,1.8916010056564654,1.9176067152470757,-1.3747988879708408
Peru,es,1.2762151687081602,2.08167400299878,2.1906331409962583,-5.2342075579805485
Portugal,pt,0.6531563281659253,3.8956086273828463,3.7000153938661953,5.020864574069258
Qatar,ar,2.648052817609328,1.938461035869391,1.7245794030077277,11.033579159136327
Russian Federation,ru,1.539949923782223,1.684942765806817,1.3604145446497837,19.260489302236707
Spain,es,1.619934086960962,2.3448063303000026,2.7020371238264485,-15.23498077049035
Switzerland,fr,3.1434501237176797,1.677970785951922,2.3178399473125544,-38.13351023257721
Tunisia,ar,2.552079806552462,2.778547145233823,2.1790173826612906,21.577095195269038
Egypt,ar,2.726057420673099,2.391932742989429,1.7195849768215952,28.10897455785215
Uruguay,es,0.9124978016330638,3.234127298795458,3.487679407643644,-7.839892664170047
Venezuela,es,1.1373562651625202,2.747757622779598,2.959274754924255,-7.697808947598828
Yemen,ar,2.4259783625618954,2.5694998852992588,1.929810339546482,24.895488394944014
