country,arabic_dist,english_dist,english_advantage
Algeria,2.0157347274092006,1.9072696641581393,5.380919511689425
Palestine,2.0142087927691312,1.6138864510407518,19.874917792311734
Iraq,2.0427481077327805,1.9216803738237669,5.926708900168073
Jordan,2.0110941072575046,1.4092763486064057,29.924892946545782
Kuwait,2.5698966768095595,2.146532099773615,16.473992159153166
Lebanon,2.551841077085523,1.9381613342493882,24.048509460354914
Libya,2.392594812468888,2.0304500644934045,15.136066754311441
Morocco,2.171261801073572,1.839815958241544,15.265125682593672
Qatar,1.938461035869391,1.7245794030077277,11.033579159136327
Tunisia,2.778547145233823,2.1790173826612906,21.577095195269038
Egypt,2.391932742989429,1.7195849768215952,28.10897455785215
Yemen,2.5694998852992588,1.929810339546482,24.895488394944014
