family,n,native_mean,english_mean,english_advantage,t_stat,p_value,sig
Arabic,228,2.2873184093331718,1.8633386997020096,-6.632544234998145,5.046564448388396,9.216959226857374e-07,***
Russian,76,1.7439857581756701,1.412149661320159,-37.22971150469822,3.1964689295651167,0.0020370348301052225,**
Romance (es/fr/it/pt),399,2.428657765804301,2.5194244147991154,-17.023623332858907,-1.8114378545925502,0.07082678023541467,
Germanic (de),38,2.3858872445413306,2.428475210616041,-25.21309704864027,-0.24706562854692066,0.8062232212425654,
CJK,76,1.5308893949732865,1.5342562832713058,-55.23018842760337,-0.03503367945236723,0.9721459601697287,
