country,native_lang,native_effect,english_effect,diff
Algeria,ar,0.054232531625530545,-0.05423253162553077,-0.10846506325106131
Argentina,es,-0.07691010067747062,0.07691010067747106,0.15382020135494168
Austria,de,0.12434991377711313,-0.12434991377711357,-0.2486998275542267
Belgium,fr,-0.20825636624222765,0.20825636624222765,0.4165127324844553
Bolivia,es,0.06369331171570236,-0.0636933117157028,-0.12738662343140517
Brazil,pt,-0.177487871682509,0.177487871682509,0.354975743365018
Belarus,ru,0.18612206612962945,-0.18612206612962945,-0.3722441322592589
Chile,es,-0.07419955626414154,0.0741995562641411,0.14839911252828264
China,zh-cn,0.07153055885754256,-0.07153055885754256,-0.14306111771508512
Colombia,es,0.18448212330956348,-0.18448212330956304,-0.3689642466191265
Ecuador,es,0.12346753964932855,-0.12346753964932855,-0.2469350792986571
France,fr,-0.1962110036382505,0.19621100363825095,0.39242200727650145
Palestine,ar,0.20016117086418972,-0.20016117086418972,-0.40032234172837944
Germany,de,-0.16693787985182373,0.16693787985182373,0.33387575970364747
Guatemala,es,-0.050753546429810115,0.05075354642980989,0.10150709285962001
Haiti,fr,0.3132959398811792,-0.31329593988117965,-0.6265918797623589
Iraq,ar,0.0605338669545068,-0.0605338669545068,-0.1210677339090136
Italy,it,-0.13271050628386405,0.1327105062838645,0.26542101256772854
Japan,ja,0.07056490492087497,-0.07056490492087497,-0.14112980984174994
Kazakhstan,ru,0.20093106651328618,-0.2009310665132864,-0.4018621330265726
Jordan,ar,0.30090887932554944,-0.30090887932554944,-0.6018177586510989
"Korea, Republic of",ko,-0.046429762300626454,0.046429762300626454,0.09285952460125291
Kuwait,ar,0.21168228851797233,-0.21168228851797233,-0.42336457703594466
Kyrgyzstan,ru,0.11435495048959021,-0.11435495048959021,-0.22870990097918042
Lebanon,ar,0.3068398714180671,-0.30683987141806757,-0.6136797428361347
Libya,ar,0.181072373987742,-0.18107237398774156,-0.36214474797548357
Luxembourg,fr,-0.12389740060364529,0.12389740060364485,0.24779480120729014
Macao,zh-cn,-0.10239947807382954,0.10239947807382954,0.20479895614765908
Mali,fr,0.10087440987022855,-0.10087440987022833,-0.2017488197404569
Mexico,es,0.0023336179260406986,-0.0023336179260402545,-0.004667235852080953
Morocco,ar,0.16572292141601386,-0.16572292141601386,-0.3314458428320277
Nicaragua,es,-0.013002854795305163,0.013002854795305163,0.026005709590610326
Peru,es,-0.05447956899873896,0.0544795689987394,0.10895913799747836
Portugal,pt,0.09779661675832552,-0.09779661675832552,-0.19559323351665103
Qatar,ar,0.10694081643083164,-0.10694081643083164,-0.21388163286166328
Russian Federation,ru,0.16226411057851653,-0.16226411057851675,-0.3245282211570333
Spain,es,-0.1786153967632229,0.1786153967632229,0.3572307935264458
Switzerland,fr,-0.3199345806803162,0.3199345806803162,0.6398691613606324
Tunisia,ar,0.2997648812862659,-0.2997648812862663,-0.5995297625725322
Egypt,ar,0.3361738830839167,-0.33617388308391694,-0.6723477661678336
Uruguay,es,-0.1267760544240928,0.12677605442409323,0.253552108848186
Venezuela,es,-0.10575856607232836,0.10575856607232836,0.21151713214465673
Yemen,ar,0.31984477287638846,-0.31984477287638824,-0.6396895457527767
