group,n,native_mean,english_mean,english_advantage,t_stat,p_value
非西方语言,380,2.0273660762296943,1.7072844087394987,-22.471506527459205,5.488580265301589,7.430101385396309e-08
西方语言,437,2.424938590042304,2.5115157883484134,-17.73575148205729,-1.800442731127671,0.07248177625541552
