country,native_language,native_dist,english_dist,english_advantage
Jordan,ar,2.011094107257504,1.4092763486064057,29.924892946545768
Egypt,ar,2.391932742989429,1.7195849768215952,28.10897455785215
Haiti,fr,2.4590383932842443,1.832446513521885,25.48117514039686
Yemen,ar,2.5694998852992588,1.9298103395464816,24.89548839494403
Lebanon,ar,2.5518410770855233,1.9381613342493882,24.04850946035493
Kazakhstan,ru,1.7405542526364144,1.3386921196098414,23.088170473162396
Belarus,ru,1.7181315805780168,1.345887448318758,21.66563588418693
Tunisia,ar,2.778547145233823,2.179017382661291,21.57709519526902
Palestine,ar,2.014208792769131,1.6138864510407518,19.874917792311717
Russian Federation,ru,1.684942765806817,1.360414544649784,19.260489302236692
Kuwait,ar,2.569896676809559,2.1465320997736153,16.473992159153138
Morocco,ar,2.171261801073572,1.839815958241544,15.265125682593672
Libya,ar,2.392594812468888,2.0304500644934045,15.136066754311441
Colombia,es,2.4836528279597676,2.1146885813406406,14.855709399699716
China,zh-cn,1.1459173533701432,1.002856235655058,12.48441847000068
Kyrgyzstan,ru,1.8323144336814323,1.603604532702252,12.482022559832332
Qatar,ar,1.9384610358693914,1.7245794030077277,11.033579159136348
Mali,fr,2.0045488045625217,1.8027999848220648,10.064550151199093
Austria,de,2.528777275683918,2.2800774481296915,9.83478576566079
Ecuador,es,2.583733816639306,2.336798737340649,9.557295635811608
Japan,ja,1.8356099195558582,1.6944801097141082,7.688442317630181
Iraq,ar,2.0427481077327805,1.9216803738237669,5.926708900168073
Bolivia,es,2.253302867683356,2.1259162442519512,5.653328953616086
Algeria,ar,2.0157347274092006,1.9072696641581393,5.380919511689425
Portugal,pt,3.8956086273828463,3.700015393866196,5.020864574069236
Mexico,es,2.078051410537781,2.0733841746857,0.22459674618315215
Nicaragua,es,1.891601005656465,1.9176067152470757,-1.3747988879708646
"Korea, Republic of",ko,1.8327377854867324,1.9255973100879853,-5.066710870294606
Argentina,es,3.010007747968799,3.1638279493237405,-5.110292538573747
Peru,es,2.08167400299878,2.190633140996258,-5.234207557980527
Guatemala,es,1.6124440849927562,1.7139511778523768,-6.2952318039652635
Chile,es,2.3040271638402143,2.452426276368497,-6.440857766665385
Venezuela,es,2.747757622779598,2.9592747549242553,-7.697808947598843
Uruguay,es,3.2341272987954577,3.487679407643644,-7.839892664170062
Luxembourg,fr,2.8727539248564207,3.1205487260637113,-8.625688370425785
Italy,it,2.1354530695780536,2.400874082145782,-12.429259923758163
Germany,de,2.242997213398743,2.57687297310239,-14.885250757745508
Brazil,pt,2.3539245213511184,2.708900264716137,-15.080166765978866
Spain,es,2.3448063303000026,2.702037123826448,-15.234980770490331
Macao,zh-cn,1.3092925214804123,1.5140914776280716,-15.641955696508056
Belgium,fr,2.5908143290985093,3.0073270615829646,-16.07651802008458
France,fr,2.386514445672396,2.7789364529488974,-16.44331162495592
Switzerland,fr,1.677970785951922,2.3178399473125544,-38.13351023257721
