country,native_distance_mean,en_distance_mean,advantage_mean
China,1.4513579266532433,1.2115520452684234,16.522862967221315
Hong Kong,2.1077917775015615,0.7763459161118299,63.16780792113822
Japan,1.7214297428457557,1.6050215017828566,6.76229985839913
"Korea, Republic of",1.8713349737929672,1.7760961964757414,5.089349509894987
Macao,2.0177078291183497,1.7439511095543376,13.567708645093168
"Taiwan, Province of China",3.2835371117909773,2.7746338104383703,15.498631019736822
