model_name,country,native_language,en_distance,native_distance,english_advantage
claude-3-7-sonnet-20250219,Algeria,ar,1.0183431452873966,0.956727900507886,-6.4402056997398756
claude-sonnet-4.5,Algeria,ar,1.239006167644418,1.4489133862674286,14.487216462521364
deepseek-chat,Algeria,ar,1.2101770364150806,1.7066563171186833,29.09075926556787
deepseek-chat-v3.1,Algeria,ar,1.4489133862674286,1.7066563171186833,15.102216437249497
doubao-1-5-pro-32k-250115,Algeria,ar,1.7194031186119756,1.948712757498474,11.767236500306943
gemini-2.5-flash,Algeria,ar,1.7066563171186833,1.4489133862674286,-17.788705197570902
gemini-2.5-pro,Algeria,ar,1.9904003028970998,1.4489133862674286,-37.37193139091669
gemini-3-pro-preview,Algeria,ar,1.4489133862674286,1.7066563171186833,15.102216437249497
gemma-3-4b-it,Algeria,ar,2.389758043985497,2.3922787599686184,0.10536882345410198
gpt-4o,Algeria,ar,1.000440379456181,0.616109467573732,-62.380296377519095
gpt-4o-mini,Algeria,ar,1.2367512087949735,0.8817086177951239,-40.267565024792376
gpt-5.1,Algeria,ar,1.4489133862674286,1.239006167644418,-16.941579800372057
grok-4.1-fast,Algeria,ar,3.0862893259914927,2.212440848842976,-39.4970323209096
kimi-k2,Algeria,ar,0.8109350496067287,0.7876968267927373,-2.950148080272247
llama-3.2-3b-instruct,Algeria,ar,3.539756445949561,5.284177075725115,33.01215316551779
llama-3.3-70b-instruct,Algeria,ar,1.2367512087949735,1.4489133862674286,14.642847494080366
mistral-medium-3.1,Algeria,ar,1.2101770364150806,1.1960277966211603,-1.1830193105789488
mistral-nemo,Algeria,ar,2.0076907708582783,3.9958436775330175,49.75552266604682
phi-3-mini-128k-instruct,Algeria,ar,3.2442795348237596,4.734998502272645,31.48298709563242
qwen3-max,Algeria,ar,1.2240960651308326,1.2101770364150806,-1.1501646698721444
claude-3-7-sonnet-20250219,Argentina,es,1.7328341686694997,0.7762802535876824,-123.22275501160517
claude-sonnet-4.5,Argentina,es,3.042509989133501,1.8887104102074717,-61.08927936704104
deepseek-chat,Argentina,es,0.5670085354080806,1.457291835128104,61.09162751479785
deepseek-chat-v3.1,Argentina,es,0.19708743949180652,3.1234913949362912,93.69015583614802
doubao-1-5-pro-32k-250115,Argentina,es,1.714263946810256,0.44614473132905696,-284.239424211846
gemini-2.5-flash,Argentina,es,2.392136998135461,1.7981883750599537,-33.03038943601805
gemini-2.5-pro,Argentina,es,3.977332970805524,4.728965990427505,15.894236100311481
gemini-3-pro-preview,Argentina,es,1.174720154228332,1.5853765016537922,25.90276486355652
gemma-3-4b-it,Argentina,es,2.8798746486939453,2.474074755932649,-16.40208695344465
gpt-4o,Argentina,es,0.9654652841041444,2.1140141903209533,54.330236356759464
