language,language_name,PC1_mean,PC1_std,PC2_mean,PC2_std
ar,Arabic,-1.66002625,1.650352438288042,-0.74669375,2.040381163669428
en,English,0.27895077777777777,2.3591344609020557,0.25110511111111117,1.8466774617567294
es,Spanish,0.6716653846153846,1.8925890113753214,0.36120576923076925,1.4312007108288523
fr,French,1.6607361111111112,3.3072007626117026,0.714563888888889,1.8803105541599638
ru,Russian,-0.62053125,1.3455770787412593,-0.04394124999999999,1.3370899280222968
zh-cn,Chinese,0.79772,1.0680169035072504,1.23370125,1.3584203629228624
