country,model_name,d_arabic,d_french,french_advantage_pct,ar_pc1,ar_pc2,fr_pc1,fr_pc2
Algeria,claude-3-7-sonnet-20250219,0.956710285514905,1.6248811174947992,-69.84045662478503,-1.647451506228367,-1.7093075607579828,-2.781656339030262,-0.6680827060659456
Algeria,claude-sonnet-4.5,1.4489166235821767,1.5060516252562859,-3.943291197312208,-1.9800941325873405,-2.0816078554248385,-1.8381171850123819,-2.2299443490893367
Algeria,deepseek-chat,1.706618005676136,1.4489166235821767,15.100120896231958,-2.1908937573840874,-2.247956863620596,-1.9800941325873405,-2.0816078554248385
Algeria,deepseek-chat-v3.1,1.706618005676136,1.706618005676136,0.0,-2.1908937573840874,-2.247956863620596,-2.1908937573840874,-2.247956863620596
Algeria,doubao-1-5-pro-32k-250115,1.9487538295109352,1.4811998749736286,23.992458537189652,-2.7148460351671426,-2.0686075304522955,-2.0515391719774376,-2.0706679112311175
Algeria,gemini-2.5-flash,1.4489166235821767,1.9903744090602253,-37.36983734366958,-1.9800941325873405,-2.0816078554248385,-3.1598725982105877,-0.9472441084702021
Algeria,gemini-2.5-pro,1.4489166235821767,1.9903744090602253,-37.36983734366958,-1.9800941325873405,-2.0816078554248385,-3.1598725982105877,-0.9472441084702021
Algeria,gemini-3-pro-preview,1.706618005676136,1.9903744090602253,-16.62682582981828,-2.1908937573840874,-2.247956863620596,-3.1598725982105877,-0.9472441084702021
Algeria,gemma-3-4b-it,2.392322607781737,4.963787181425789,-107.48820268970425,1.2008427159840385,-0.5647885812822381,3.4328321998847895,0.9767912032438703
Algeria,gpt-4o,0.6161113418993921,0.579226969683964,5.986640677920047,-0.8524603268053227,-1.4074782648896271,-1.7305326855934227,-0.7314849353689106
Algeria,gpt-4o-mini,0.8816837481033408,0.24137792621652326,72.62307185135597,-0.39284344983586084,-0.46467141486672037,-1.3925582377937133,-0.9748304540367493
Algeria,gpt-5.1,1.2390525429391555,1.4489166235821767,-16.937464180913814,-1.7412324588136636,-1.9797354054100604,-1.9800941325873405,-2.0816078554248385
Algeria,grok-4.1-fast,2.212412500136927,2.80502808608164,-26.785944569922464,-3.3706722230073347,-1.1135931166659603,-3.7978381099492973,0.10297123799461097
Algeria,kimi-k2,0.7876882861861613,1.4689015920469237,-86.48259950126584,-1.3910782486102673,-1.6360974448248238,-2.069050755821862,-2.042005577149499
Algeria,llama-3.2-3b-instruct,5.284173344956664,3.7241792258043067,29.522008785749836,1.9058482925645488,3.4163608300863313,1.8442904558515805,1.3063721801062829
Algeria,llama-3.3-70b-instruct,1.4489166235821767,1.236710708453925,14.64583342301726,-1.9800941325873405,-2.0816078554248385,-2.4072600195293026,-0.8650435007642671
Algeria,mistral-medium-3.1,1.1959894211789168,1.872527037917968,-56.56719070910936,-1.7692945077905935,-1.9152588472290804,-3.0380295966483617,-0.7412928219991045
Algeria,mistral-nemo,3.995875178573938,2.331596155794697,41.64992519544104,2.3998213338359924,0.9142277032622504,1.0445268027803492,-0.1522960242174669
Algeria,qwen3-max,1.2101135295590397,2.635245731931856,-117.76847110304836,-1.8582511310251144,-1.8756565689537408,-3.4476838997459,0.4466091985798477
Egypt,claude-3-7-sonnet-20250219,0.9383709021843707,1.0418570701874856,-11.02827973056458,-1.647451506228367,-1.7093075607579828,-1.6018778734070143,-1.8024464530205817
Egypt,claude-sonnet-4.5,1.1936539913208797,1.3627451717316184,-14.165845516389963,-1.9800941325873405,-2.0816078554248385,-1.8381171850123819,-2.2299443490893367
Egypt,deepseek-chat,1.1936539913208797,0.8078106353062138,32.324556263385624,-1.9800941325873405,-2.0816078554248385,-2.9210109244369113,-0.8453716584554241
Egypt,deepseek-chat-v3.1,1.3545233098253842,1.2746933038415138,5.893586725662291,-2.1908937573840874,-2.247956863620596,-3.3706722230073347,-1.1135931166659603
Egypt,doubao-1-5-pro-32k-250115,1.5921117843850494,1.3545233098253842,14.922851328019874,-2.8016658690405207,-2.3318834850866312,-2.1908937573840874,-2.247956863620596
Egypt,gemini-2.5-flash,1.3545233098253842,1.1936539913208797,11.876452574687892,-2.1908937573840874,-2.247956863620596,-1.9800941325873405,-2.0816078554248385
Egypt,gemini-2.5-pro,1.0463872732785298,1.0463872732785298,0.0,-3.1598725982105877,-0.9472441084702021,-3.1598725982105877,-0.9472441084702021
Egypt,gemini-3-pro-preview,1.1936539913208797,1.0463872732785298,12.337471253238702,-1.9800941325873405,-2.0816078554248385,-3.1598725982105877,-0.9472441084702021
Egypt,gemma-3-4b-it,3.7322580318952827,4.755233681061877,-27.409028004612946,1.5931259915212972,-0.4697599884720937,2.296287416586974,0.880626870045255
Egypt,gpt-4o,1.417555165170883,0.6336047210079193,55.302993733472114,-0.7306173252430964,-1.2015269784185294,-2.7102112996401644,-0.679022650259666
Egypt,gpt-4o-mini,1.1094069805436715,0.2749929985986899,75.21261327705655,-1.7517829239461693,-1.9439211813106994,-2.389748435684879,-0.8937058348458863
Egypt,gpt-5.1,1.1936539913208797,1.1936539913208797,0.0,-1.9800941325873405,-2.0816078554248385,-1.9800941325873405,-2.0816078554248385
Egypt,grok-4.1-fast,1.8050023998929778,2.1521093321734925,-19.2302753891682,-3.0474886615261143,-2.44090782511915,-4.227267127149362,-1.3065440781645141
Egypt,kimi-k2,1.0354186078139516,1.2241909478283413,-18.231499664946053,-1.3910782486102673,-1.6360974448248238,-1.9625825487429167,-2.110270189506457
Egypt,llama-3.2-3b-instruct,5.319326377245601,4.530194814008612,14.835178503290274,0.9261696785178072,3.468823115195576,1.8442904558515805,1.3063721801062829
Egypt,llama-3.3-70b-instruct,1.1936539913208797,1.1936539913208797,0.0,-1.9800941325873405,-2.0816078554248385,-1.9800941325873405,-2.0816078554248385
Egypt,mistral-medium-3.1,1.1936539913208797,2.5561311389671766,-114.14339143109638,-1.9800941325873405,-2.0816078554248385,-0.6784726654018668,-3.0100203159083776
Egypt,mistral-nemo,4.003953504251627,3.235221135677675,19.199333053135312,1.560738013538388,0.6926144076820767,1.0270152189359254,-0.12363369013584799
Egypt,qwen3-max,1.0130933050499176,1.9242896763649349,-89.94199910047975,-1.8582511310251144,-1.8756565689537408,-3.4651954835903234,0.4752715326614668
Iraq,claude-3-7-sonnet-20250219,1.5376902946877644,2.3771336042160325,-54.59118214040111,-3.0380295966483617,-0.7412928219991045,-3.5870384851525494,0.26932024619036904
Iraq,claude-sonnet-4.5,1.1215235229967873,1.1359157968017377,-1.2832788175938847,-2.6180596443260495,-1.0313925089600249,-2.603626544348684,-1.1758518160897504
Iraq,deepseek-chat,1.8784608204013127,2.3771336042160325,-26.546882341053234,-3.3706722230073347,-1.1135931166659603,-3.5870384851525494,0.26932024619036904
Iraq,deepseek-chat-v3.1,1.8784608204013127,1.8784608204013127,0.0,-3.3706722230073347,-1.1135931166659603,-3.3706722230073347,-1.1135931166659603
Iraq,doubao-1-5-pro-32k-250115,2.2098176083977337,1.864886683071422,15.60902239241409,-3.0124654938372672,-2.4982324932823885,-3.3531606391629114,-1.1422554507475793
Iraq,gemini-2.5-flash,1.8784608204013127,3.4480562437035696,-83.55752785767072,-3.3706722230073347,-1.1135931166659603,-4.014204372094513,1.4858846008509405
Iraq,gemini-2.5-pro,1.6545197287546198,2.3771336042160325,-43.67514408579064,-3.1598725982105877,-0.9472441084702021,-3.5870384851525494,0.26932024619036904
Iraq,gemini-3-pro-preview,1.5287633342856564,1.6545197287546198,-8.22602110141041,-2.1908937573840874,-2.247956863620596,-3.1598725982105877,-0.9472441084702021
Iraq,gemma-3-4b-it,2.8024935174244345,2.57964855460812,7.95166737873902,1.2828382205066415,-0.6115427495753197,0.956474224144925,-0.114411376100638
Iraq,gpt-4o,0.7513955661448308,1.6545197287546198,-120.19290548165313,-1.330183674352675,-1.6112231649191835,-3.1598725982105877,-0.9472441084702021
Iraq,gpt-4o-mini,0.8831564861584804,0.8831564861584804,0.0,-2.389748435684879,-0.8937058348458863,-2.389748435684879,-0.8937058348458863
Iraq,gpt-5.1,1.2907094787855076,1.2907094787855076,0.0,-1.9800941325873405,-2.0816078554248385,-1.9800941325873405,-2.0816078554248385
Iraq,grok-4.1-fast,3.2455805315667114,4.099976422390223,-26.324901893932555,-4.654433014091325,-0.08997972350394348,-5.081598901033288,1.1265846311566279
Iraq,kimi-k2,1.1236358679579432,1.6545197287546198,-47.246966382577874,-1.7412324588136636,-1.9797354054100604,-3.1598725982105877,-0.9472441084702021
Iraq,llama-3.2-3b-instruct,5.499281543929699,4.000761984791371,27.249369707074685,1.3302573442668777,3.83018346566871,1.8618020396960042,1.2777098460246639
Iraq,llama-3.3-70b-instruct,1.6545197287546198,2.3771336042160325,-43.67514408579064,-3.1598725982105877,-0.9472441084702021,-3.5870384851525494,0.26932024619036904
Iraq,mistral-medium-3.1,2.523145787647117,1.8784608204013127,25.55084095425915,-4.016467502352615,-1.1401950699687562,-3.3706722230073347,-1.1135931166659603
Iraq,mistral-nemo,3.1524404909811503,2.63606064969463,16.38032003344192,-0.11689585368240835,1.9487004743527494,1.0095036350915014,-0.09497135605422909
Iraq,qwen3-max,1.5376902946877644,3.5400777685840668,-130.2204664238254,-3.0380295966483617,-0.7412928219991045,-4.103160995329033,1.5254868791262801
Jordan,claude-3-7-sonnet-20250219,0.3320036867620737,0.20125635578232112,39.38128888112349,-1.647451506228367,-1.7093075607579828,-1.9800941325873405,-2.0816078554248385
Jordan,claude-sonnet-4.5,0.20125635578232112,1.1343092826626877,-463.61414190047077,-1.9800941325873405,-2.0816078554248385,-2.2827946557987677,-0.9847176603471466
Jordan,deepseek-chat,0.21086238280300318,1.6985311722082193,-705.5164461434836,-1.952032083610411,-2.146084413605818,-2.7991679228746853,-0.6394203719843264
Jordan,deepseek-chat-v3.1,0.4648775710446696,1.813560650496454,-290.11575594430883,-2.1908937573840874,-2.247956863620596,-3.3706722230073347,-1.1135931166659603
Jordan,doubao-1-5-pro-32k-250115,1.0595821210536136,0.4648775710446696,56.12632925681961,-2.8016658690405207,-2.3318834850866312,-2.1908937573840874,-2.247956863620596
Jordan,gemini-2.5-flash,0.4648775710446696,0.20125635578232112,56.70766491701047,-2.1908937573840874,-2.247956863620596,-1.9800941325873405,-2.0816078554248385
Jordan,gemini-2.5-pro,0.20125635578232112,1.7301450951860773,-759.6722764161557,-1.9800941325873405,-2.0816078554248385,-3.1598725982105877,-0.9472441084702021
Jordan,gemini-3-pro-preview,0.20125635578232112,0.20125635578232112,0.0,-1.9800941325873405,-2.0816078554248385,-1.9800941325873405,-2.0816078554248385
Jordan,gemma-3-4b-it,4.597283501940689,4.755935176995798,-3.4509874143749375,2.5377814378791914,-0.4648976054181005,2.467790699135575,0.10544388398974057
Jordan,gpt-4o,0.5837573886250945,1.7301450951860773,-196.38084740323953,-1.274059576398817,-1.7401762812811432,-3.1598725982105877,-0.9472441084702021
Jordan,gpt-4o-mini,1.44172361594328,2.184823508035468,-51.542465135108316,-0.35175898538523964,-1.9658314317907795,0.3890579548878256,-2.1201661669148018
Jordan,gpt-5.1,0.20125635578232112,0.20125635578232112,0.0,-1.9800941325873405,-2.0816078554248385,-1.9800941325873405,-2.0816078554248385
Jordan,grok-4.1-fast,0.4648775710446696,1.3272795384086666,-185.51163168100658,-2.1908937573840874,-2.247956863620596,-3.0474886615261143,-2.44090782511915
Jordan,kimi-k2,0.2804215880718148,0.20125635578232112,28.230790943677192,-1.6018778734070143,-1.8024464530205817,-1.9800941325873405,-2.0816078554248385
Jordan,llama-3.2-3b-instruct,6.114429710471226,5.082119037954567,16.883188153243175,0.9261696785178072,3.468823115195576,0.6645119902283332,2.4407359270609192
Jordan,llama-3.3-70b-instruct,0.05875860471656119,0.20125635578232112,-242.51384414782868,-1.7412324588136636,-1.9797354054100604,-1.9800941325873405,-2.0816078554248385
Jordan,mistral-medium-3.1,0.20125635578232112,2.533375878557661,-1158.7805581145276,-1.9800941325873405,-2.0816078554248385,-4.227267127149362,-1.3065440781645141
Jordan,mistral-nemo,5.108543148711186,3.825451381587367,25.1165886197423,2.4173329176804157,0.8855653691806316,1.2882128059048008,0.2596065487247284
Jordan,qwen3-max,0.14740431522797753,1.435802528370739,-874.0573240003912,-1.8582511310251144,-1.8756565689537408,-2.2854170179670765,-0.6590922142931693
Kuwait,claude-3-7-sonnet-20250219,2.143423880722087,2.143423880722087,0.0,-1.9800941325873405,-2.0816078554248385,-1.9800941325873405,-2.0816078554248385
Kuwait,claude-sonnet-4.5,2.4003669085247954,2.18064891450895,9.153517040895988,-2.1908937573840874,-2.247956863620596,-1.9481494487655513,-2.2547294966361826
Kuwait,deepseek-chat,2.4003669085247954,1.8840797754224134,21.508675664074993,-2.1908937573840874,-2.247956863620596,-1.7412324588136636,-1.9797354054100604
Kuwait,deepseek-chat-v3.1,2.2960911699978834,2.935179372355955,-27.83374679145083,-1.0111152917608397,-3.3823206105752326,-1.8677101959028675,-3.5752715720737873
Kuwait,doubao-1-5-pro-32k-250115,2.307201824291882,2.395295613270689,-3.818209055284721,-0.46072513863001985,-3.5900299325361256,-2.1733821735396637,-2.2766191977022157
Kuwait,gemini-2.5-flash,2.4003669085247954,2.2960911699978834,4.3441583099892505,-2.1908937573840874,-2.247956863620596,-1.0111152917608397,-3.3823206105752326
Kuwait,gemini-2.5-pro,2.143423880722087,1.4753627525733417,31.16794275538657,-1.9800941325873405,-2.0816078554248385,-1.4431238016880643,-1.4290727151342741
Kuwait,gemini-3-pro-preview,2.4003669085247954,2.143423880722087,10.704323030374509,-2.1908937573840874,-2.247956863620596,-1.9800941325873405,-2.0816078554248385
Kuwait,gemma-3-4b-it,0.7422878262769144,2.623528913990249,-253.43822451582656,0.7377717957217571,-1.1140754830495454,2.3284361137289253,-0.07184506839973834
Kuwait,gpt-4o,1.882116158817945,3.212680515774936,-70.6951242474134,-1.7517829239461693,-1.9439211813106994,-3.1598725982105877,-0.9472441084702021
Kuwait,gpt-4o-mini,0.7365793430856132,0.9593965177051886,-30.250261117311457,-0.35175898538523964,-1.9658314317907795,-0.590620659158916,-2.0677038818055573
