country,pc1_std,pc2_std,consistency,model_count
Georgia,0.3249646554640285,0.04101414412392722,0.7320757835345965,7
Luxembourg,0.4597375136537567,0.0556870025759006,0.6598811021534599,7
Zimbabwe,0.5064860462542883,0.033162451756232676,0.6494988962040131,6
Thailand,0.5809807440021342,0.07992763236066674,0.6020801714480394,6
Austria,0.6255532011831937,0.0910729657224159,0.5825380151361668,7
Kenya,0.6936273976061855,0.07619911956435076,0.5650271313590237,7
Colombia,0.7123758041411969,0.06889913770041067,0.5613956478645175,7
Serbia,0.7413701764526021,0.08128682000210112,0.5486495824201293,7
Romania,0.7456438481058649,0.07953810456055727,0.5478905807385902,7
Ukraine,0.7557259834250938,0.0762558986443182,0.545856926745584,7
India,0.759725937040014,0.08038935512893856,0.5434442093143497,7
Ecuador,0.7822422156081693,0.07486882934744177,0.5384707622714624,7
Bangladesh,0.7835525990838476,0.0976803282028815,0.531566285862476,7
Taiwan_(Province_of_China),0.8313634941137336,0.059205790497397784,0.52894120736003,7
Croatia,0.8286226386172807,0.08666416351245249,0.5221150163453506,7
Trinidad_and_Tobago,0.8822150342111993,0.05708420779198493,0.5156501783433163,7
Malaysia,0.918560952825925,0.09698067063949761,0.49614455407804947,7
Mexico,0.9668457321907603,0.052646875721848486,0.4951738848074426,7
Turkey,0.9465048109073293,0.07366772766937518,0.49500722384066337,7
Chile,0.9224787121314907,0.12206183124173375,0.4891074443308084,7
Andorra,1.049226974975981,0.021290981573568797,0.4829709381832492,5
Malta,1.0106675227728368,0.06340860668447552,0.4821423793453776,6
Hungary,1.0621401828300998,0.0608027433357071,0.4710442224681351,7
Italy,1.0771805953061309,0.06840081393368073,0.46607413528732244,7
Philippines_(the),1.0849044466973536,0.06713846527397936,0.46467474901974487,7
Brazil,1.0834998130503188,0.09456682696516157,0.4591227750464479,7
Estonia,1.065675690650726,0.12272180934030633,0.45695537488235016,7
Greece,1.0557169079748125,0.22532773301531828,0.4383956289281261,7
Peru,1.0886113057092284,0.21181498255824027,0.4347020398350321,7
Czechia,1.2452503585184693,0.11139294836350543,0.4243323531735818,7
Denmark,1.2067644663245896,0.19579264649281608,0.416223195971117,7
Belgium,1.184675340188946,0.22860828599581673,0.4143731756805279,7
Puerto_Rico,1.3584227754441427,0.077211999500875,0.41057058730103496,7
Slovenia,1.3507740415097886,0.12108024170238964,0.4045545915839741,7
