country_code,data_source,PC1_rescaled,PC2_rescaled,Cultural Region,country_code_clean,Country,Numeric,Islamic,country_code_original
470.0,IVS,-0.2817419412151255,-1.5034317320230028,Catholic Europe,470,Malta,470,False,470.0
484.0,IVS,0.56513099238291,-1.6026436360161087,Latin America,484,Mexico,484,False,484.0
496.0,IVS,0.6365935011149355,1.247971957799771,Confucian,496,Mongolia,496,False,496.0
498.0,IVS,-1.8976899831819674,0.5077045175256285,Orthodox Europe,498,Moldova (the Republic of),498,False,498.0
499.0,IVS,-0.25648876042669433,0.031818870471738855,Orthodox Europe,499,Montenegro,499,False,499.0
504.0,IVS,-1.4556488903850493,-0.9724022238754685,African-Islamic,504,Morocco,504,True,504.0
528.0,IVS,3.405748597577234,1.588006231682597,Protestant Europe,528,Netherlands (the),528,False,528.0
554.0,IVS,3.4231011101315545,0.8055766749805756,English-Speaking,554,New Zealand,554,False,554.0
558.0,IVS,-0.5311941554400063,-1.9529320216561412,Latin America,558,Nicaragua,558,False,558.0
566.0,IVS,-1.1874510192154881,-1.599403114247839,African-Islamic,566,Nigeria,566,True,566.0
578.0,IVS,4.1930682870643325,1.775606219030216,Protestant Europe,578,Norway,578,False,578.0
586.0,IVS,-0.7922105392588278,-1.5493253495713377,African-Islamic,586,Pakistan,586,True,586.0
604.0,IVS,-0.5384933701318158,-1.0322475216655662,Latin America,604,Peru,604,False,604.0
608.0,IVS,-0.052852597986250464,-1.720817189573704,Latin America,608,Philippines (the),608,False,608.0
616.0,IVS,0.1820736696494572,-0.35336334569705835,Catholic Europe,616,Poland,616,False,616.0
620.0,IVS,-0.07538047467898441,-0.2549489796993429,Catholic Europe,620,Portugal,620,False,620.0
630.0,IVS,0.8739430669682655,-1.5939890585028442,Latin America,630,Puerto Rico,630,False,630.0
634.0,IVS,-0.6791841757060847,-2.7273203939633377,African-Islamic,634,Qatar,634,True,634.0
642.0,IVS,-1.313240849645662,-0.26987723823902,Orthodox Europe,642,Romania,642,False,642.0
643.0,IVS,-0.7172868710087148,0.46534763411977637,Orthodox Europe,643,Russian Federation (the),643,False,643.0
646.0,IVS,-1.1913142687035032,-1.6113103612636372,African-Islamic,646,Rwanda,646,True,646.0
688.0,IVS,-0.25530042144291665,0.5983803517380835,Orthodox Europe,688,Serbia,688,False,688.0
702.0,IVS,0.34632545818253274,-0.04574471382044731,West & South Asia,702,Singapore,702,False,702.0
703.0,IVS,0.4914323518484345,0.8705712049771355,Catholic Europe,703,Slovakia,703,False,703.0
704.0,IVS,0.49741090826736734,-0.7045440270345154,West & South Asia,704,Viet Nam,704,False,704.0
705.0,IVS,1.4919978683136328,1.098516546911981,Catholic Europe,705,Slovenia,705,False,705.0
710.0,IVS,-0.017690544424382594,-0.8445139030637354,African-Islamic,710,South Africa,710,False,710.0
716.0,IVS,-1.7217417889157274,-1.3100210716165797,African-Islamic,716,Zimbabwe,716,True,716.0
724.0,IVS,1.6710847877207227,0.7933110579213855,Catholic Europe,724,Spain,724,False,724.0
752.0,IVS,4.49534768874622,2.3386952685648903,Protestant Europe,752,Sweden,752,False,752.0
756.0,IVS,3.222664340197851,1.2877405883997894,Protestant Europe,756,Switzerland,756,False,756.0
762.0,IVS,-0.5566170542318153,-1.9204305105910764,African-Islamic,762,Tajikistan,762,True,762.0
