family,description,languages,n_pairs,n_countries,native_mean,native_std,english_mean,english_std,diff_mean,english_advantage_pct,eng_better_count,eng_better_pct,t_stat,p_value,significance
斯拉夫语系,Slavic (印欧语系-斯拉夫语族),ru,76,4,1.7439857581756701,0.9945398687462395,1.412149661320159,0.8483331121216282,0.33183609685551135,19.027454513311778,51,67.10526315789474,3.1964689295651167,0.0020370348301052225,**
闪米特语系,Semitic (亚非语系-闪米特语族),ar,228,12,2.2873184093331718,1.4939795926298711,1.8633386997020096,1.064373527806235,0.4239797096311623,18.53610358318089,124,54.385964912280706,5.046564448388396,9.216959226857374e-07,***
日本语系,Japonic (孤立语言),ja,19,1,1.8356099195558582,0.7997440129057849,1.6944801097141082,0.7848562635233641,0.14112980984175008,7.688442317630181,11,57.89473684210527,0.8792165459424943,0.39087057167225836,
日耳曼语系,Germanic (印欧语系-日耳曼语族),de,38,2,2.3858872445413306,1.130914309339109,2.428475210616041,1.0544276885538602,-0.042587966074710104,-1.7849949184374734,18,47.368421052631575,-0.24706562854692066,0.8062232212425654,
汉藏语系,Sino-Tibetan (汉藏语系-汉语族),"zh-cn, zh-tw, zh-hk",38,2,1.2276049374252778,0.7111053681031784,1.2584738566415647,0.6204833176096982,-0.03086891921628711,-2.514564602601716,19,50.0,-0.23185898250179035,0.8179251399159484,
罗曼语系,Romance (印欧语系-罗曼语族),"es, fr, it, pt",399,21,2.428657765804301,1.1272736273332362,2.5194244147991154,1.1163536778582133,-0.09076664899481487,-3.737317388757529,171,42.857142857142854,-1.8114378545925502,0.07082678023541467,
韩语系,Koreanic (孤立语言),ko,19,1,1.8327377854867324,0.9483156710718778,1.9255973100879853,0.602930979200835,-0.09285952460125262,-5.066710870294606,7,36.84210526315789,-0.40106117744440367,0.6930960438508582,
