model_name,model_region,country_name,cultural_region,distance,roleplay_pc1,roleplay_pc2,real_pc1,real_pc2
openai/gpt-4o-mini,US,Austria,Catholic Europe,2.172393450450188,0.02158333090144815,1.1529834487318267,2.1927676171982413,1.080512085444266
openai/gpt-4o-mini,US,Azerbaijan,Orthodox Europe,0.6241628464291482,-1.1165997633495852,-0.5252776305435232,-1.361384655686369,-1.0994375519471384
openai/gpt-4o-mini,US,Bangladesh,West & South Asia,0.9495289148353728,-1.4642401551523925,-0.9878087571032946,-1.083683519828842,-1.8577408276810259
openai/gpt-4o-mini,US,Algeria,African-Islamic,0.11033902323788446,-1.2863081890635586,-0.8971294889097263,-1.1802393104744264,-0.8667305901807535
openai/gpt-4o-mini,US,Albania,Orthodox Europe,0.8375797463312799,-1.4642401551523925,-0.9878087571032946,-1.0069496845986647,-0.2860785689218816
openai/gpt-4o-mini,US,Argentina,Latin America,0.8196475349438016,0.4089873853525093,0.5574500337968998,0.7526758953128055,-0.1866603677301329
openai/gpt-4o-mini,US,Australia,English-Speaking,3.0370294775199675,4.749098898977226,3.4098602078607967,3.377301413077362,0.700299412269744
openai/gpt-4o-mini,US,Armenia,Orthodox Europe,0.4443588041662289,-0.9899384499227145,-0.651442450162025,-1.2492145899292546,-1.0123172623384222
openai/gpt-4o-mini,US,Belgium,Catholic Europe,1.5663729825545327,1.944601385705914,2.3658783237484884,2.43483317552102,0.8781965322582989
openai/gpt-4o-mini,US,Bulgaria,Orthodox Europe,1.4079986107490785,-0.9189381564320661,-0.2828116998604528,-0.6067201787522093,1.0901340464401195
openai/gpt-4o-mini,US,Bosnia and Herzegovina,Orthodox Europe,0.38495865888279035,-1.0581697313531575,0.20699664886604424,-0.6738743219381621,0.18440887891419683
openai/gpt-4o-mini,US,Bolivia (Plurinational State of),Latin America,0.9530672758849221,-0.8329468749274199,-0.4755962957052439,-0.5752802330109268,-1.393171978690677
openai/gpt-4o-mini,US,Belarus,Orthodox Europe,1.0457803126460266,-1.349434144196521,0.19538094464630573,-0.35408348822491054,0.5162135084157988
openai/gpt-4o-mini,US,Brazil,Latin America,1.784488849901201,1.7151942575999286,0.10915513611810926,-0.006987829086859934,-0.3582732709314093
openai/gpt-4o-mini,US,Myanmar,West & South Asia,0.8930205817635787,-1.0855984061447015,-0.6042788429650939,-1.3097248101295966,-1.468716876886647
openai/gpt-4o-mini,US,Canada,English-Speaking,2.6472316709358115,4.5953506837921525,3.1666787711855355,3.1532396631247863,0.9467347800732967
openai/gpt-4o-mini,US,China,Confucian,0.12435982829467289,-0.1073358297533838,0.7514769314895813,0.010807441670622546,0.7126499523292849
openai/gpt-4o-mini,US,Taiwan (Province of China),Confucian,0.9908875832898861,-0.10666473411692201,0.37046474499272847,-0.14565848581284907,1.3605847831935254
openai/gpt-4o-mini,US,Colombia,Latin America,1.6708136969035543,-0.48463538748815127,-0.3940773556423253,0.10379883726142179,-1.9578431862269086
openai/gpt-4o-mini,US,Chile,Latin America,1.545649568298778,-0.7456135616475497,-1.3807892410667237,0.20003043118159092,-0.15817318244146625
openai/gpt-4o-mini,US,Croatia,Catholic Europe,1.8643928348456866,-1.119975220244172,-0.5536602094785152,0.45501315407031073,0.44402323901512325
openai/gpt-4o-mini,US,Cyprus,Catholic Europe,0.39629957328073595,-0.6112967009150228,-0.26791253602382376,-0.25019046570398423,-0.43117808252461964
openai/gpt-4o-mini,US,Czechia,Catholic Europe,3.280096608231086,-0.9659829820341274,-0.29119576765613003,1.5574141308735647,1.8043950249124474
openai/gpt-4o-mini,US,Denmark,Protestant Europe,2.132387275925337,5.3862917017407295,3.6752554130311963,4.331439033725113,1.8220524173211705
openai/gpt-4o-mini,US,Finland,Protestant Europe,3.0672875932931776,4.885655559033597,3.7086685169565397,2.954336080178104,1.3257588983256527
openai/gpt-4o-mini,US,Ecuador,Latin America,1.7066230783548848,-0.48463538748815127,-0.3940773556423253,-0.2147177301742284,-2.079220313923215
openai/gpt-4o-mini,US,Estonia,Orthodox Europe,1.9933300009859376,-1.0456975452533244,-0.09760961825546033,0.32624025874162993,1.3484716916300177
openai/gpt-4o-mini,US,France,Catholic Europe,1.3068582068447776,3.4400909110740536,2.2648226692821667,2.6982492282014627,1.1889280227900905
openai/gpt-4o-mini,US,Ethiopia,African-Islamic,0.45589678874920325,-1.5675613132149606,-1.1351604586530333,-1.130350356691475,-1.264344286927529
