country,native_language,dist_to_west,english_advantage
Tunisia,ar,2.299282500772004,27.27921792034887
"Taiwan, Province of China",zh-tw,2.236450755358055,27.05481089474604
Jordan,ar,2.464941665918371,25.244248361584816
Hong Kong,zh-hk,2.6181436716016333,24.780755151489057
Palestine,ar,2.1196589483660406,24.184114520329956
Lebanon,ar,1.5637282432559472,20.890806537635886
Haiti,fr,0.1477976575778316,20.38068255502146
Bolivia,es,1.0944826252964095,19.824381929946778
Morocco,ar,1.8306923865069016,18.00933700222894
Kuwait,ar,0.614355890853113,17.654358899345375
Mali,fr,0.8654434234021222,17.575372408833754
Portugal,pt,0.7216620300036345,17.552735830624993
Burkina Faso,fr,1.3598734755482311,17.506526056875067
Nicaragua,es,1.4442183296519555,17.365460934090997
Yemen,ar,2.0743791861804577,16.86870794019344
Qatar,ar,2.173223562493703,15.997960550413437
Egypt,ar,2.4847891500965953,15.031959414929139
Ecuador,es,1.3800295127896267,13.177924671808208
Mexico,es,0.8033807158877023,12.029872166516467
Algeria,ar,1.5406517023809487,10.825415320657049
Colombia,es,1.16260444936724,10.399472836728798
Chile,es,0.6803132852382286,9.586344314406297
Iraq,ar,1.8765438174817146,6.037598309310464
Kazakhstan,ru,1.1000134394914753,4.95944471365867
Libya,ar,2.12326266213007,4.543817521979484
Brazil,pt,0.5928869953165739,3.5778090839052687
Japan,ja,3.231441579565894,3.316908221579431
"Korea, Republic of",ko,2.1924895359530847,2.967750830198766
Kyrgyzstan,ru,1.4841328120449155,1.870320122464661
Macao,pt,2.5476400448008567,1.8222128663883599
China,zh-cn,1.570532441080074,0.07335781966555469
Belarus,ru,1.5271408395355504,-0.9244386787786055
Peru,es,0.931160120230216,-2.242665108276269
Argentina,es,0.7452975845628612,-2.6756525423128115
Guatemala,es,0.27049933616760136,-2.7168498575649567
Uruguay,es,1.276367838385711,-5.125538882397468
Luxembourg,de,2.609521737717945,-7.353452470890877
Switzerland,de,3.5498095138274497,-7.7451736667215885
Venezuela,es,0.7204621327183108,-9.926246135730871
Austria,de,2.6385013955525625,-11.812938898756007
Spain,es,2.0760031319793963,-12.109599810487094
France,fr,3.0787709487026156,-13.295914931910916
Belgium,fr,2.6775283057184205,-15.232285427019091
Italy,it,1.5587801107694885,-24.49730137727712
Germany,de,3.294862722764713,-26.127405185026532
