Country,dist_ar,dist_en,dist_fr,english_adv,french_adv
Algeria,1.770337217247308,1.6301708586287171,1.5122603955480565,7.917494884761847,14.577834052460036
Egypt,1.774749110950263,1.5147480621533242,2.323129153873586,14.650017131589104,-30.899017756357743
Iraq,2.0341142194265123,2.0123684236288386,2.036330744652116,1.0690548047889148,-0.1089675891567479
Jordan,1.222426714978322,0.9796304442247714,2.3055810757182673,19.8618262983443,-88.60689540469944
Kuwait,2.5292313588301885,2.2926312761403675,2.5219492778434165,9.354623959717642,0.2879167602184107
Lebanon,2.4591594097934917,1.9732444506949376,2.303944778124045,19.75939246408425,6.311694599842174
Libya,2.1519453747527617,2.1502591936404194,2.647461835061379,0.0783561298592924,-23.026442312251906
Morocco,1.721427518824695,1.4403953651061097,2.04320186110308,16.3255292857442,-18.692296873357535
Palestine,2.0536415702127977,1.6580766229131387,2.656717787464054,19.26163518683889,-29.366186680218288
Qatar,1.89825782458636,1.6460195540457283,2.2834806312380618,13.28788256651047,-20.29349236243204
Tunisia,2.0200104160935894,1.438667000225431,2.3132972328656805,28.779228623602513,-14.51907447780718
Yemen,2.456677348401364,2.1550347626664235,3.170859551945004,12.27847791779529,-29.07106234395741
