model,mean,std,min,max,count
phi-3-mini-128k-instruct,1.5945899207207046,1.5747632387940442,0.1250980040005369,6.052565643627945,122
llama-3.2-3b-instruct,1.9682916300758746,0.9505785347106034,0.13362870860787873,4.104655576327755,122
gemma-3-4b-it,2.0302310544058257,1.0181681776896092,0.2827451688254264,5.017559284583752,122
gpt-4o,2.5795460269412445,1.259645581793687,0.20001694999192363,5.116319886822762,122
qwen3-max,2.794036184356505,1.329753869672491,0.43858101917739245,5.8078575114602975,122
gemini-3-pro-preview,3.4626453455312176,1.346463583955775,0.45681977976609894,6.2839223773665545,122
deepseek-chat,3.5347796767776685,1.2607869139009198,0.7217241908433057,6.90976516005716,122
claude-sonnet-4.5,3.721249786438695,2.09837378206603,0.1739679391583657,7.983794729342295,122
llama-3.3-70b-instruct,3.7296436949145475,1.5397729717857065,0.5168536011085011,6.768389784290126,122
doubao-1-5-pro-32k-250115,3.8052087810725737,1.3389542341506244,0.6151968786122405,7.0268140341205365,122
kimi-k2,4.089285573718308,1.5116193928291735,0.797177612906345,6.910815753316026,122
gpt-5.1,4.108869530028949,2.0385593601211465,0.3131174058804995,6.831774027682652,122
gemini-2.5-pro,4.253457178880576,1.797712340419578,0.7934341534786197,8.498638665801531,122
mistral-medium-3.1,4.401500917719487,1.6297745837101656,0.9494720170156526,7.656091166980606,122
claude-3-7-sonnet-20250219,4.668199730825454,1.9120569345832479,0.6767046288557532,8.512448361591316,122
deepseek-chat-v3.1,4.929771891819095,1.5722600962758881,1.536113899848538,8.993796082319914,122
mistral-nemo,5.291229960263742,1.5051499732658078,0.9216278875994959,9.283166581588908,122
gpt-4o-mini,5.618906484332744,2.087274772954101,1.4641469551366584,10.120486223691108,122
gemini-2.5-flash,6.007005598603428,1.4822695544541429,0.206491646112298,9.463478943435872,122
grok-4.1-fast,6.696768153254101,2.8532826982268316,0.5765128320990055,10.804218620103454,122
