model_name,country,native_language,en_distance,native_distance,english_advantage,internet_collectivity_index,colonial_power,has_colonial_history,gdp_per_capita,HDI,freedom_on_net
gemini-2.5-pro,Austria,de,2.5762159981077675,1.2107063479295632,-112.7861972899846,59.63,,0,52336.7725223758,0.93,
gemini-3-pro-preview,Austria,de,2.892075786234586,1.537919893863494,-88.0511330775,59.63,,0,52336.7725223758,0.93,
gemma-3-4b-it,Austria,de,2.063553581148384,2.131074566466472,3.16840088003323,59.63,,0,52336.7725223758,0.93,
gpt-4o,Austria,de,1.1124808699468414,0.5696006753745294,-95.30890991576725,59.63,,0,52336.7725223758,0.93,
gpt-4o-mini,Austria,de,1.7829090891070585,2.3245138689477853,23.299700942885316,59.63,,0,52336.7725223758,0.93,
gpt-5.1,Austria,de,2.85806038327775,2.8589052328094646,0.0295515053111557,59.63,,0,52336.7725223758,0.93,
grok-4.1-fast,Austria,de,2.414998048191166,1.2620850676415831,-91.3498630250014,59.63,,0,52336.7725223758,0.93,
kimi-k2,Austria,de,3.146798272686503,0.6878716678017205,-357.46880122900626,59.63,,0,52336.7725223758,0.93,
llama-3.2-3b-instruct,Austria,de,0.3956339363416646,1.597974195786522,75.24153159764047,59.63,,0,52336.7725223758,0.93,
llama-3.3-70b-instruct,Austria,de,1.717346404083783,1.5507244234981856,-10.744783409661196,59.63,,0,52336.7725223758,0.93,
mistral-medium-3.1,Austria,de,1.0212555746960112,1.049549154093233,2.6957841171017782,59.63,,0,52336.7725223758,0.93,
mistral-nemo,Austria,de,3.134836890079234,3.419267577294901,8.318468232915828,59.63,,0,52336.7725223758,0.93,
phi-3-mini-128k-instruct,Austria,de,0.9738489671880752,2.594149644371581,62.45979990780428,59.63,,0,52336.7725223758,0.93,
qwen3-max,Austria,de,1.191466419222002,1.4595452001801728,18.36728187144035,59.63,,0,52336.7725223758,0.93,
claude-3-7-sonnet-20250219,Belarus,ru,2.064314977413734,0.3244805251315789,-536.1907164002034,,RU,1,7994.64806074889,0.824,22.0
claude-sonnet-4.5,Belarus,ru,0.3792116679613712,1.129320408789935,66.4212507796883,,RU,1,7994.64806074889,0.824,22.0
deepseek-chat,Belarus,ru,0.7892680686527901,1.7953330600564466,56.03779119246124,,RU,1,7994.64806074889,0.824,22.0
deepseek-chat-v3.1,Belarus,ru,1.5087208606276528,2.1397828705163207,29.491871282079902,,RU,1,7994.64806074889,0.824,22.0
doubao-1-5-pro-32k-250115,Belarus,ru,2.5448333517000843,1.926801694864748,-32.07551968022943,,RU,1,7994.64806074889,0.824,22.0
gemini-2.5-flash,Belarus,ru,0.4253706512407565,1.683824068304609,74.73782093701456,,RU,1,7994.64806074889,0.824,22.0
gemini-2.5-pro,Belarus,ru,2.013801263745731,1.9787440944906811,-1.771687877813925,,RU,1,7994.64806074889,0.824,22.0
gemini-3-pro-preview,Belarus,ru,2.0810139189726304,0.3567753039366448,-483.2841836334533,,RU,1,7994.64806074889,0.824,22.0
gemma-3-4b-it,Belarus,ru,1.9170298117405544,1.991674971631211,3.747858508736559,,RU,1,7994.64806074889,0.824,22.0
gpt-4o,Belarus,ru,0.5343862267809353,0.513437586261763,-4.080075374242704,,RU,1,7994.64806074889,0.824,22.0
gpt-4o-mini,Belarus,ru,1.6602190183229757,0.1173683988192105,-1314.536651284055,,RU,1,7994.64806074889,0.824,22.0
gpt-5.1,Belarus,ru,0.4253706512407565,0.436393190003379,2.525827399491991,,RU,1,7994.64806074889,0.824,22.0
grok-4.1-fast,Belarus,ru,3.231230473397242,3.479166121473633,7.126295193153231,,RU,1,7994.64806074889,0.824,22.0
kimi-k2,Belarus,ru,0.8015010826482802,0.3039439529525884,-163.70028910340082,,RU,1,7994.64806074889,0.824,22.0
llama-3.2-3b-instruct,Belarus,ru,2.0250975825443143,3.3801097339376875,40.08781542766188,,RU,1,7994.64806074889,0.824,22.0
