country,native_distance,english_distance,improvement_pct,absolute_diff
Russian Federation (the),1.9312210901671196,1.003039050121919,48.06192541967733,0.9281820400452006
Morocco,2.9624579530462087,1.8168306235625036,38.67151357559995,1.1456273294837052
Egypt,2.6513124048556405,1.6321858305941788,38.4385699850015,1.0191265742614617
China,1.5778074164938476,1.0043809182571135,36.34325027518148,0.5734264982367341
Lebanon,2.9953074614832405,2.0432045118853734,31.786484754603357,0.952102949597867
Kazakhstan,1.8323778952441097,1.278315889322127,30.237322080780203,0.5540620059219827
Belarus,1.9401496473044522,1.4076924472946006,27.444130443732583,0.5324572000098515
Taiwan (Province of China),3.3535383602198046,2.632525570393892,21.50006090220046,0.7210127898259127
Iraq,1.8432715322008744,1.5338560220640063,16.786214333133252,0.3094155101368681
Spain,2.1800151664097966,1.9035510615543876,12.681751444450256,0.27646410485540907
Tajikistan,1.5723000283532138,1.3784998839059441,12.325900970074452,0.19380014444726967
Jordan,1.7153156094909647,1.5216154696575792,11.29239066919398,0.19370013983338552
Colombia,2.7462758590191685,2.5489084978079535,7.186727457222913,0.197367361211215
Hong Kong,1.719730192122043,1.6007654800918465,6.917638160635023,0.11896471203019643
Guatemala,1.7292387747401823,1.674657092582389,3.1563993911710795,0.054581682157793354
Macao,1.8170160502887274,1.7689391869519366,2.6459239767943283,0.04807686333679073
Singapore,1.3770877192021078,1.3446099111486471,2.3584414849243225,0.03247780805346068
Ukraine,2.7692117054767116,2.813480652459923,-1.5986118683400132,-0.0442689469832116
Algeria,1.6094521941601079,1.6965406683034516,-5.411063121933289,-0.08708847414334375
Argentina,2.539417408157892,2.72790273860674,-7.42238475027137,-0.18848533044884785
Tunisia,2.814334861739602,3.080345607831401,-9.45199342509555,-0.2660107460917991
Kyrgyzstan,1.9337853287461577,2.127560213522231,-10.020496168605975,-0.1937748847760732
Mexico,1.8304004071292659,2.203563137250021,-20.386945319030506,-0.3731627301207552
Peru,2.029385224284906,2.4532830626093522,-20.887992740452457,-0.42389783832444605
Ecuador,2.2245422162251605,2.835160018789003,-27.449144282818043,-0.6106178025638425
Chile,1.7681270712975674,2.325685398408058,-31.533838046001854,-0.5575583271104907
