model,native_avg,english_avg,improvement_pct,native_std,english_std,countries_count
mistral-nemo,2.4347118187496433,1.9455392900646649,20.09159872301417,1.1089611000124895,1.1380430624183075,26
claude-3.7-sonnet,1.8026259807213496,1.5280050053633754,15.234495580058171,0.6851685312606627,0.6887928715990862,26
llama-3.3-70b-instruct,1.5112468206896206,1.3283387093820525,12.103126293036796,0.7742552298608324,0.743985055678123,26
gpt-4o-mini,3.4842439560280263,3.2343227471812477,7.1728963873036085,1.1082885018974113,1.1351507596953008,26
deepseek-chat-v3-0324,1.892327848201292,1.7732715646000787,6.291525208720011,0.7704308154274141,0.6648633129054998,26
qwq-32b,2.3870380785128664,2.3526717234295167,1.4397070324391348,1.1542230438892827,1.4111172870418947,24
gemini-2.0-flash-001,1.4381166018119087,1.4633909552708948,-1.7574620463418955,1.003648766064982,0.6719000135988508,26
