country,model,stage2_PC1,stage2_PC2,stage3_PC1,stage3_PC2,PC1_diff,PC2_diff,distance
China,claude-3.7-sonnet,0.59936651189338,0.7403341358989942,0.03641315688054109,-0.022442229688233284,-0.5629533550128389,-0.7627763655872275,0.9480212359534312
China,deepseek-chat,0.4662779721995801,0.24931322653318838,0.5143550453442919,0.18131881690544357,0.04807707314471177,-0.0679944096277448,0.08327451412519632
China,gemini-2.0-flash,-0.6476892101028401,-0.020867431417896973,-1.0035127345174168,-0.4458377861952972,-0.35582352441457676,-0.4249703547774002,0.5542654444996913
China,llama-3.3-70b,0.31749000089700447,0.10565165472430249,0.8771920353695339,0.18713132743720778,0.5597020344725294,0.0814796727129053,0.5656017189313436
China,mistral-nemo,2.4720336436601285,0.5318875342394085,1.1623588588961644,-0.09460908517222914,-1.309674784763964,-0.6264966194116376,1.4518078578037612
China,gpt-4o-mini,0.3807093194191834,-0.05078579678109879,0.748510137947975,-0.026935855673192455,0.36780081852879165,0.023849941107906336,0.368573278740198
Egypt,claude-3.7-sonnet,-1.9131936858272787,-1.9321898396054495,-1.8057547891047068,-1.961378543329193,0.1074388967225719,-0.029188703723743492,0.1113332697536363
Egypt,deepseek-chat,-1.4114195648520966,-1.6240788181914316,0.600985135593272,-1.7979972273346674,2.0124047004453685,-0.17391840914323575,2.0199060105394824
Egypt,gemini-2.0-flash,-2.906726467313058,-2.3073494017516882,-2.784634576037045,-2.359910409699022,0.12209189127601316,-0.05256100794733376,0.132925127315318
Egypt,llama-3.3-70b,-1.9865405326268268,-2.095909516521965,-1.9276481870347406,-2.167386402915349,0.058892345592086226,-0.07147688639338412,0.09261346369632473
Egypt,mistral-nemo,1.0845848776406801,-1.1691464514013672,0.552891869245995,-1.1246483831030112,-0.5316930083946851,0.04449806829835601,0.5335518093475795
Egypt,gpt-4o-mini,-1.5823470741335566,-1.8755613530034922,-0.8364446328070697,-0.03461240968343625,0.7459024413264869,1.840948943320056,1.9863190740382182
Russian Federation,claude-3.7-sonnet,-1.7848518521287464,1.887831348797816,-1.7255399028965015,1.8775642215797201,0.05931194923224492,-0.010267127218095862,0.06019402979566133
Russian Federation,deepseek-chat,-1.2900744578708179,0.6542791327880663,-1.9190930160054482,1.682970090225089,-0.6290185581346304,1.0286909574370227,1.2057650817594892
Russian Federation,gemini-2.0-flash,-1.8795285162524684,0.3117926087200193,-1.1785277062385413,0.24383155869947132,0.7010008100139271,-0.06796105002054798,0.7042874696883917
Russian Federation,llama-3.3-70b,-0.35251041688419305,-0.6371738137932409,-0.2664470955818138,-0.7613975113490113,0.08606332130237926,-0.12422369755577045,0.1511238641248433
Russian Federation,mistral-nemo,0.302630296523876,2.1560005209586324,0.9185720630360966,-0.5066248043445419,0.6159417665122207,-2.6626253253031744,2.732939421699652
Russian Federation,gpt-4o-mini,-0.341094665708217,-0.6643848970066899,0.42620000503434285,2.233023080987546,0.7672946707425599,2.897407977994236,2.997284454751431
