model_name,country,native_language,cultural_region,is_islamic,language_family,model_origin,d_english,d_native,d_diff,english_advantage_pct,ea_winsorized,log_ratio,internet_collectivity_index,colonial_power,gdp_per_capita,HDI,has_colonial_history,freedom_on_net
gemini-3-pro-preview,Argentina,es,Latin America,False,Romance,US,1.1747365748061391,1.585383051198188,0.4106464763920487,25.90203522623089,25.90203522623089,-0.2997821200042836,49.69,ES,13962.1894087223,0.865,1,71.0
gemma-3-4b-it,Argentina,es,Latin America,False,Romance,US,2.879887125847739,2.4740510099558697,-0.4058361158918697,-16.403708503128588,-16.403708503128588,0.151894208794241,49.69,ES,13962.1894087223,0.865,1,71.0
gpt-4o,Argentina,es,Latin America,False,Romance,US,0.9654686400920952,2.1140076785253363,1.148539038433241,54.32993692976673,54.32993692976673,-0.7837271777929417,49.69,ES,13962.1894087223,0.865,1,71.0
gpt-4o-mini,Argentina,es,Latin America,False,Romance,US,4.638573449304732,2.8811214236670244,-1.7574520256377075,-60.9988878358644,-60.9988878358644,0.4762272711207384,49.69,ES,13962.1894087223,0.865,1,71.0
gpt-5.1,Argentina,es,Latin America,False,Romance,US,3.722613672629276,1.991673356071385,-1.7309403165578912,-86.9088453325602,-86.9088453325602,0.6254508539055138,49.69,ES,13962.1894087223,0.865,1,71.0
grok-4.1-fast,Argentina,es,Latin America,False,Romance,US,2.751480396593887,2.3371839264320537,-0.4142964701618337,-17.726310089522947,-17.726310089522947,0.1631923384679945,49.69,ES,13962.1894087223,0.865,1,71.0
kimi-k2,Argentina,es,Latin America,False,Romance,China,2.6257330282068994,3.926468716067688,1.3007356878607887,33.127366647236656,33.127366647236656,-0.4023803705156878,49.69,ES,13962.1894087223,0.865,1,71.0
llama-3.2-3b-instruct,Argentina,es,Latin America,False,Romance,US,2.860395842108303,2.443957567720436,-0.4164382743878669,-17.03950509976707,-17.03950509976707,0.1573413422439477,49.69,ES,13962.1894087223,0.865,1,71.0
llama-3.3-70b-instruct,Argentina,es,Latin America,False,Romance,US,0.7821081286054848,1.3609245910477996,0.5788164624423148,42.531119376472866,42.531119376472866,-0.5539265912372662,49.69,ES,13962.1894087223,0.865,1,71.0
mistral-medium-3.1,Argentina,es,Latin America,False,Romance,Europe,3.37219000379729,3.4156824719039536,0.0434924681066637,1.2733170739498034,1.2733170739498034,-0.0128149323559579,49.69,ES,13962.1894087223,0.865,1,71.0
mistral-nemo,Argentina,es,Latin America,False,Romance,Europe,3.810741064131095,3.223835356151007,-0.5869057079800877,-18.205201046023785,-18.205201046023785,0.1672519200972628,49.69,ES,13962.1894087223,0.865,1,71.0
phi-3-mini-128k-instruct,Argentina,es,Latin America,False,Romance,US,3.0242439606996405,3.3839638501397564,0.3597198894401159,10.630133930811926,10.630133930811926,-0.112386629206319,49.69,ES,13962.1894087223,0.865,1,71.0
qwen3-max,Argentina,es,Latin America,False,Romance,China,2.0264641866961774,1.6428151938940745,-0.3836489928021029,-23.35314369066153,-23.35314369066153,0.2098811426022095,49.69,ES,13962.1894087223,0.865,1,71.0
claude-3-7-sonnet-20250219,Austria,de,Catholic Europe,False,Germanic,US,2.682835474369492,1.7048367495175454,-0.9779987248519466,-57.36612171979001,-57.36612171979001,0.4534048899783093,59.63,,52336.7725223758,0.93,0,
claude-sonnet-4.5,Austria,de,Catholic Europe,False,Germanic,US,2.325051652839451,2.0646445399093656,-0.2604071129300855,-12.612685035919888,-12.612685035919888,0.1187841791087287,59.63,,52336.7725223758,0.93,0,
deepseek-chat,Austria,de,Catholic Europe,False,Germanic,China,1.7697159449324025,1.4216679519929685,-0.3480479929394338,-24.481665528967007,-24.481665528967007,0.2189882542445672,59.63,,52336.7725223758,0.93,0,
deepseek-chat-v3.1,Austria,de,Catholic Europe,False,Germanic,China,2.3698636047046526,1.1957128539315538,-1.1741507507730988,-98.19671561716862,-98.19671561716862,0.6840898647168552,59.63,,52336.7725223758,0.93,0,
doubao-1-5-pro-32k-250115,Austria,de,Catholic Europe,False,Germanic,China,0.6414651887430001,0.8586032329914922,0.2171380442484921,25.28968397800614,25.28968397800614,-0.2915520040268106,59.63,,52336.7725223758,0.93,0,
gemini-2.5-flash,Austria,de,Catholic Europe,False,Germanic,US,0.9431887061337854,2.4980175517382888,1.5548288456045034,62.24251084715353,62.24251084715353,-0.973986341814512,59.63,,52336.7725223758,0.93,0,
gemini-2.5-pro,Austria,de,Catholic Europe,False,Germanic,US,2.576182010583245,1.210711822020437,-1.3654701885628082,-112.78242796738454,-112.78242796738454,0.7550999927286287,59.63,,52336.7725223758,0.93,0,
gemini-3-pro-preview,Austria,de,Catholic Europe,False,Germanic,US,2.892116446675,1.537933547055049,-1.3541828996199512,-88.05210746673954,-88.05210746673954,0.6315489058143509,59.63,,52336.7725223758,0.93,0,
gemma-3-4b-it,Austria,de,Catholic Europe,False,Germanic,US,2.0635301104299617,2.131055530761303,0.0675254203313411,3.168637295303994,3.168637295303994,-0.0321992492973448,59.63,,52336.7725223758,0.93,0,
gpt-4o,Austria,de,Catholic Europe,False,Germanic,US,1.1124335338196418,0.5696320057478071,-0.5428015280718347,-95.28985776690168,-95.28985776690168,0.6693147189889689,59.63,,52336.7725223758,0.93,0,
gpt-4o-mini,Austria,de,Catholic Europe,False,Germanic,US,1.7829470488996708,2.3245059140359685,0.5415588651362977,23.29780543324175,23.29780543324175,-0.2652398656805523,59.63,,52336.7725223758,0.93,0,
gpt-5.1,Austria,de,Catholic Europe,False,Germanic,US,2.858031846016176,2.8588779583651354,0.0008461123489595,0.0295959590189518,0.0295959590189518,-0.0002960033948721,59.63,,52336.7725223758,0.93,0,
grok-4.1-fast,Austria,de,Catholic Europe,False,Germanic,US,2.4149726622643195,1.262067238067683,-1.1529054241966366,-91.35055482161306,-91.35055482161306,0.6489369253913738,59.63,,52336.7725223758,0.93,0,
kimi-k2,Austria,de,Catholic Europe,False,Germanic,China,3.14678191266421,0.6878775977693756,-2.458904314894834,-357.46247920683555,-200.0,1.520524682701608,59.63,,52336.7725223758,0.93,0,
llama-3.2-3b-instruct,Austria,de,Catholic Europe,False,Germanic,US,0.3956445977762937,1.597980580540987,1.2023359827646931,75.24096333871901,75.24096333871901,-1.3959796459850982,59.63,,52336.7725223758,0.93,0,
llama-3.3-70b-instruct,Austria,de,Catholic Europe,False,Germanic,US,1.717305881075695,1.5507127258573816,-0.1665931552183133,-10.74300561544723,-10.74300561544723,0.102042066229016,59.63,,52336.7725223758,0.93,0,
mistral-medium-3.1,Austria,de,Catholic Europe,False,Germanic,Europe,1.0212089076663795,1.0495643714838816,0.0283554638175018,2.7016412321059176,2.7016412321059176,-0.0273880646887118,59.63,,52336.7725223758,0.93,0,
mistral-nemo,Austria,de,Catholic Europe,False,Germanic,Europe,3.134854611230057,3.4192199418041005,0.2843653305740434,8.31667267429431,8.31667267429431,-0.0868296408605784,59.63,,52336.7725223758,0.93,0,
phi-3-mini-128k-instruct,Austria,de,Catholic Europe,False,Germanic,US,0.9738463134591476,2.5941622591610716,1.620315945701924,62.46008475298378,62.46008475298378,-0.9797654125036616,59.63,,52336.7725223758,0.93,0,
qwen3-max,Austria,de,Catholic Europe,False,Germanic,China,1.1914678775135452,1.4595729154037305,0.2681050378901852,18.36873204899291,18.36873204899291,-0.2029578117408048,59.63,,52336.7725223758,0.93,0,
claude-3-7-sonnet-20250219,Belgium,de,Catholic Europe,False,Germanic,US,3.373810165233805,2.5637422108382215,-0.8100679543955835,-31.597090806205895,-31.597090806205895,0.2745747263229554,59.53,,50605.7496677086,0.951,0,
claude-sonnet-4.5,Belgium,de,Catholic Europe,False,Germanic,US,2.2894055713378076,2.100931526523752,-0.1884740448140558,-8.970975133392814,-8.970975133392814,0.085911377601509,59.53,,50605.7496677086,0.951,0,
deepseek-chat,Belgium,de,Catholic Europe,False,Germanic,China,2.367927150817346,1.589672663148238,-0.7782544876691082,-48.95690199061664,-48.95690199061664,0.398486829731862,59.53,,50605.7496677086,0.951,0,
deepseek-chat-v3.1,Belgium,de,Catholic Europe,False,Germanic,China,3.3171260476779767,1.2862690116172206,-2.0308570360607563,-157.88742616969122,-157.88742616969122,0.947352971037109,59.53,,50605.7496677086,0.951,0,
doubao-1-5-pro-32k-250115,Belgium,de,Catholic Europe,False,Germanic,China,2.817862269222033,1.8593321001931284,-0.9585301690289044,-51.55239179323276,-51.55239179323276,0.4157611995966119,59.53,,50605.7496677086,0.951,0,
gemini-2.5-flash,Belgium,de,Catholic Europe,False,Germanic,US,2.525950332277933,1.5061144101556472,-1.019835922122286,-67.71304458981257,-67.71304458981257,0.5170842650861548,59.53,,50605.7496677086,0.951,0,
gemini-2.5-pro,Belgium,de,Catholic Europe,False,Germanic,US,3.38986362197146,2.115971516490033,-1.2738921054814272,-60.203650926008464,-60.203650926008464,0.4712756381867865,59.53,,50605.7496677086,0.951,0,
