country,model,fr_distance,ar_distance,advantage
Algeria,gemini-2.5-flash,1.1975029882985448,1.4489166235822055,17.35183592980542
Algeria,deepseek-chat,1.0749864374462113,1.706618005676164,37.0107174616208
Algeria,llama-3.2-3b-instruct,2.9139232676926623,5.284173344956689,44.855645765789205
Algeria,mistral-nemo,2.1355539631399245,3.995875178574007,46.55603922287603
Algeria,deepseek-chat-v3.1,2.3113303987555645,1.706618005676164,-35.433377069042045
Algeria,gemini-3-pro-preview,1.1975029882985448,1.706618005676164,29.831808622920697
Algeria,gemma-3-4b-it,4.775083786565767,2.3923226077817192,-99.60032861092519
Algeria,kimi-k2,1.7779699428407074,0.7876882861862204,-125.71999279679153
Algeria,doubao-1-5-pro-32k-250115,1.2393535307311467,1.9487538295109779,36.40276611837878
Algeria,claude-3-7-sonnet-20250219,0.845197805561318,0.9567102855149433,11.655825346709266
Algeria,gpt-4o,0.7504666698635694,0.6161113418994416,-21.80698825473927
Algeria,gpt-5.1,1.275079103773171,1.2390525429392043,-2.9075894351103724
Algeria,claude-sonnet-4.5,1.3994541561224798,1.4489166235822055,3.4137552606331467
Algeria,mistral-medium-3.1,2.5544028625361075,1.195989421178948,-113.58072381761555
Algeria,gpt-4o-mini,0.4404973694861357,0.8816837481033615,50.03907348482788
Algeria,qwen3-max,1.968941963247042,1.2101135295590755,-62.707210121389025
Algeria,gemini-2.5-pro,1.1975029882985448,1.4489166235822055,17.35183592980542
Algeria,llama-3.3-70b-instruct,0.4404973694861357,1.4489166235822055,69.59815614530814
Algeria,grok-4.1-fast,2.0410357910944312,2.2124125001369515,7.7461463010135665
Egypt,deepseek-chat,2.647277669083742,1.1936539913209745,-121.77931698231023
Egypt,gemini-3-pro-preview,0.275118532464617,1.1936539913209745,76.95156766826933
Egypt,llama-3.3-70b-instruct,1.568316917037747,1.1936539913209745,-31.387900383271557
Egypt,kimi-k2,1.568316917037747,1.0354186078140333,-51.46694343737591
Egypt,gpt-4o,0.24973160861915583,1.417555165170902,82.38293544018458
Egypt,mistral-nemo,3.0366807064881165,4.003953504251653,24.157942811684116
Egypt,qwen3-max,1.4094415931883897,1.0130933050500215,-39.12258487571375
Egypt,gemini-2.5-flash,2.647277669083742,1.3545233098254783,-95.43980158044138
Egypt,doubao-1-5-pro-32k-250115,2.647277669083742,1.592111784385134,-66.2746105548178
Egypt,gemma-3-4b-it,5.474606851021135,3.7322580318952636,-46.68350377267715
Egypt,grok-4.1-fast,1.398980020949526,1.8050023998930635,22.494284714945096
Egypt,gemini-2.5-pro,2.647277669083742,1.0463872732785595,-152.99215086869737
Egypt,llama-3.2-3b-instruct,3.7741527295523722,5.319326377245541,29.04829555680116
Egypt,deepseek-chat-v3.1,0.541027818906676,1.3545233098254783,60.057695944975364
Egypt,gpt-5.1,1.568316917037747,1.1936539913209745,-31.387900383271557
Egypt,gpt-4o-mini,2.647277669083742,1.1094069805437596,-138.6209673735979
Egypt,mistral-medium-3.1,3.1284840527639455,1.1936539913209745,-162.09304166124082
Egypt,claude-sonnet-4.5,1.738829747175404,1.1936539913209745,-45.672846555064325
Iraq,deepseek-chat-v3.1,1.1071095669698665,1.8784608204013382,41.06294073605807
Iraq,gpt-5.1,0.8645275424099518,1.29070947878556,33.019199392306824
Iraq,deepseek-chat,1.6729775038456238,1.8784608204013382,10.938919477267156
Iraq,mistral-nemo,2.4510814525441065,3.152440490981196,22.248129360208534
Iraq,mistral-medium-3.1,1.1071095669698665,2.523145787647176,56.121855011705755
Iraq,grok-4.1-fast,3.382428133416911,3.2455805315666653,-4.216429095481056
Iraq,claude-sonnet-4.5,0.47309604367237096,1.1215235229966847,57.81666331810238
Iraq,gemini-3-pro-preview,0.8645275424099518,1.5287633342857063,43.449223105949855
Iraq,gemma-3-4b-it,2.387536032418154,2.802493517424411,14.806724169967664
Iraq,gemini-2.5-flash,2.85924791390261,1.8784608204013382,-52.21227309344274
Iraq,kimi-k2,0.8645275424099518,1.1236358679580156,23.05981260805973
Iraq,gpt-4o-mini,2.077971352176708,0.8831564861583664,-135.2891457793233
Iraq,doubao-1-5-pro-32k-250115,2.077971352176708,2.209817608397789,5.9663863533368815
Iraq,gemini-2.5-pro,1.6729775038456238,1.6545197287546491,-1.1155971591144327
Iraq,gpt-4o,2.077971352176708,0.7513955661448872,-176.54825844101734
Iraq,llama-3.3-70b-instruct,1.6729775038456238,1.6545197287546491,-1.1155971591144327
Iraq,llama-3.2-3b-instruct,3.1355825490683005,5.499281543929653,42.98196002476918
Iraq,qwen3-max,2.9599208723425714,1.5376902946877957,-92.49135424526676
Jordan,gpt-5.1,0.8528666673773032,0.20125635578228143,-323.7712960975662
Jordan,gemini-2.5-flash,2.951686910147444,0.464877571044647,-534.9385502756302
Jordan,gemma-3-4b-it,4.579712917149912,4.597283501940723,0.3821949371491487
Jordan,qwen3-max,1.3118984681023023,0.147404315227867,-790.0000424507829
Jordan,gpt-4o,2.951686910147444,0.5837573886250944,-405.63589732019676
Jordan,mistral-nemo,3.6819536273656013,5.108543148711269,27.92556468286958
Jordan,kimi-k2,2.951686910147444,0.28042158807178647,-952.5890429633497
Jordan,deepseek-chat,1.3113529841728737,0.2108623828030139,-521.89991725453
Jordan,gpt-4o-mini,2.951686910147444,1.4417236159433455,-104.73320111470204
Jordan,doubao-1-5-pro-32k-250115,2.951686910147444,1.0595821210536025,-178.5708489694423
Jordan,grok-4.1-fast,0.6805551693687335,0.464877571044647,-46.39449432663052
Jordan,deepseek-chat-v3.1,1.1308138392530172,0.464877571044647,-143.24981665859147
Jordan,llama-3.3-70b-instruct,0.6302236476503341,0.058758604716573806,-972.564011161023
Jordan,gemini-3-pro-preview,0.6302236476503341,0.20125635578228143,-213.14471793979433
Jordan,mistral-medium-3.1,1.7508379386710622,0.20125635578228143,-769.9541099537317
Jordan,gemini-2.5-pro,2.951686910147444,0.20125635578228143,-1366.6304071115005
Jordan,claude-sonnet-4.5,0.9990755503145883,0.20125635578228143,-396.4193783750042
Jordan,llama-3.2-3b-instruct,4.7099410954362675,6.1144297104711764,22.97006722686946
Kuwait,gemini-2.5-flash,2.133762294915988,2.400366908524753,11.106827571315684
Kuwait,gpt-4o-mini,1.3710786163899236,0.7365793430855933,-86.14133416318181
Kuwait,grok-4.1-fast,2.560056104381654,2.9351793723559783,12.78025021255258
Kuwait,gemini-3-pro-preview,1.4608300318386984,2.400366908524753,39.141385983507284
Kuwait,gpt-4o,1.3710786163899236,1.882116158817906,27.152284944461023
Kuwait,gpt-5.1,1.4608300318386984,2.1434238807220454,31.845957070022223
Kuwait,doubao-1-5-pro-32k-250115,1.3710786163899236,2.3072018242919405,40.573962713006466
Kuwait,deepseek-chat-v3.1,2.560056104381654,2.2960911699979154,-11.496274095421835
Kuwait,llama-3.3-70b-instruct,1.4608300318386984,2.2960911699979154,36.37752494644955
Kuwait,gemma-3-4b-it,2.4566880821053036,0.7422878262768836,-230.96165599635273
Kuwait,qwen3-max,1.7287637044313735,3.2693173407476364,47.12156929874433
Kuwait,kimi-k2,2.133762294915988,2.1434238807220454,0.4507547897060243
Kuwait,claude-sonnet-4.5,1.5352367918379781,2.400366908524753,36.04157821099431
Kuwait,gemini-2.5-pro,1.3710786163899236,2.1434238807220454,36.03324901241398
Kuwait,deepseek-chat,1.3710786163899236,2.400366908524753,42.88045667016057
Kuwait,llama-3.2-3b-instruct,2.0858847543427674,6.492121248437031,67.87052067388697
Kuwait,mistral-nemo,1.5725655443148627,3.2681223879218084,51.88168135542642
Kuwait,mistral-medium-3.1,2.560056104381654,3.2693173407476364,21.69447509808842
Lebanon,gpt-4o,1.5259801491550662,1.5969179417211719,4.442168925076281
Lebanon,claude-3-7-sonnet-20250219,2.819209532469337,2.1859938972876907,-28.966944325293838
Lebanon,doubao-1-5-pro-32k-250115,1.6370540932161421,1.7194084836219918,4.789693152633944
Lebanon,gemini-2.5-pro,1.6370540932161421,4.428563150928558,63.03419331678959
Lebanon,gemini-2.5-flash,1.6370540932161421,3.4341451714772537,52.33008473803289
Lebanon,mistral-nemo,3.0320591342612144,3.191267503225991,4.988875699195879
Lebanon,deepseek-chat,1.5641333391692045,1.303034872494045,-20.03771903474922
Lebanon,gpt-5.1,1.6001102251947155,0.46694477368455334,-242.67654664353887
Lebanon,gpt-4o-mini,1.6370540932161421,2.3524948687962492,30.412001533767075
Lebanon,claude-sonnet-4.5,0.26126031208553674,1.097073955085463,76.18571556872075
Lebanon,grok-4.1-fast,2.877707323336714,4.556575638308507,36.844956569074384
Lebanon,kimi-k2,1.6370540932161421,1.7766821675908089,7.858922486063063
Lebanon,llama-3.2-3b-instruct,2.6559059241691165,4.149870153460158,36.00026444310253
Lebanon,llama-3.3-70b-instruct,0.6464078928199178,0.8858110553919968,27.0264365199344
Lebanon,gemini-3-pro-preview,2.819209532469337,0.7590089702952826,-271.4329662497349
Lebanon,gemma-3-4b-it,3.36973970890447,2.334888801703103,-44.32120735028286
Lebanon,deepseek-chat-v3.1,2.6900375217012487,2.275284847469032,-18.22860441819304
Lebanon,mistral-medium-3.1,1.691473518129773,3.510723966932362,51.819808846784184
Lebanon,qwen3-max,4.526334100958046,4.69933856660212,3.6814641718646346
Libya,gpt-4o,2.6743837478562,0.37268636452616183,-617.5963497501298
Libya,mistral-nemo,3.094240289452557,2.9284811885752977,-5.660241271957803
Libya,qwen3-max,5.855846556312631,2.8694854169821267,-104.07305510795372
Libya,doubao-1-5-pro-32k-250115,1.4466311430369512,1.6954078361041813,14.673560412395254
Libya,mistral-medium-3.1,2.1381491231955074,2.928466840392295,26.987422438797953
Libya,llama-3.2-3b-instruct,4.627572141228774,6.742666462922014,31.36881133486527
Libya,claude-sonnet-4.5,1.2231542165125833,0.8366232790124513,-46.20131272899704
Libya,gemma-3-4b-it,2.879795745510198,0.5638700903706261,-410.7197197881763
Libya,deepseek-chat-v3.1,2.1381491231955074,2.1805229798548114,1.9432886995818484
Libya,grok-4.1-fast,4.220609284215558,2.928466840392295,-44.123512890798814
Libya,gpt-5.1,0.30338742452379064,0.5969839392890645,49.179968746715645
Libya,gpt-4o-mini,1.340871831017785,1.2236587604237565,-9.578901764527652
Libya,kimi-k2,2.6743837478562,1.567640941370955,-70.59925377538052
Libya,gemini-2.5-flash,2.6743837478562,2.1805229798548114,-22.648730261685746
Libya,deepseek-chat,2.6743837478562,2.928466840392295,8.67631789547798
Libya,llama-3.3-70b-instruct,2.619702395960458,2.1805229798548114,-20.141012966297154
Libya,gemini-3-pro-preview,1.4466311430369512,0.8366232790124513,-72.913087566073
Libya,gemini-2.5-pro,5.025672058125695,3.173919726219303,-58.34275884828865
Morocco,kimi-k2,1.1968541992900392,0.6367741532970831,-87.95583851715385
Morocco,deepseek-chat,1.1265782673993574,0.8443026815000392,-33.43298464927416
Morocco,claude-3-7-sonnet-20250219,1.081646672279555,0.6367741532970831,-69.86346990985976
Morocco,llama-3.3-70b-instruct,1.1968541992900392,0.8443026815000392,-41.75653181198427
Morocco,gpt-4o,0.5050067854559256,0.7437254901471917,32.097690324426146
Morocco,gpt-4o-mini,1.0135555075216967,1.5532128690310663,34.74458474233616
Morocco,gemini-2.5-pro,1.1572991271676334,1.2269392589119745,5.675923338380795
Morocco,doubao-1-5-pro-32k-250115,1.3504293620713803,1.9130998422210836,29.4114540042223
Morocco,gemini-2.5-flash,1.4773004793073412,1.2269392589119745,-20.405347581540596
Morocco,gemma-3-4b-it,3.6903492498266703,4.159894887874857,11.287439964331904
Morocco,gpt-5.1,1.1670152863098473,1.070116487695195,-9.054976699158415
Morocco,deepseek-chat-v3.1,1.135446969784012,1.4722855203184313,22.87861599437361
Morocco,gemini-3-pro-preview,1.2142119061013874,1.2269392589119745,1.0373254191795516
Morocco,llama-3.2-3b-instruct,3.622373225493679,6.1273208854380945,40.881613788133045
Morocco,mistral-nemo,2.826846595388434,4.289320572227907,34.09570238952442
Morocco,grok-4.1-fast,1.7332627630487114,1.4722855203184313,-17.725993982052817
Morocco,qwen3-max,0.24182613656016463,0.9889170723649849,75.54636851583118
Morocco,mistral-medium-3.1,0.905482062136236,1.0470330047898218,13.519243615629883
Morocco,claude-sonnet-4.5,1.2520071365266225,1.2269392589119745,-2.0431229527106103
Palestine,deepseek-chat,0.5757560907611018,1.8229490893547178,68.41622763228641
Palestine,mistral-medium-3.1,0.8431401172473758,1.8944453762062206,55.49409194706728
Palestine,gemini-2.5-flash,3.214292165517525,0.7653481436818101,-319.9777829282684
Palestine,deepseek-chat-v3.1,2.247075358444499,1.6173915230949687,-38.93205982337507
Palestine,gpt-4o-mini,2.361009686782486,2.183761248439463,-8.116658287149603
Palestine,gpt-5.1,0.6224381320141714,1.240978419528571,49.842952768620556
Palestine,kimi-k2,2.361009686782486,0.6060099067353424,-289.5991898055868
Palestine,claude-sonnet-4.5,1.8514342798678176,0.8587239463160501,-115.6029638873497
Palestine,gemma-3-4b-it,3.9690288241171485,4.4569921413876035,10.948265148130517
Palestine,gpt-4o,2.361009686782486,0.8294421905270762,-184.65030037622782
Palestine,doubao-1-5-pro-32k-250115,2.361009686782486,0.18886511126327366,-1150.1036697515258
Palestine,llama-3.2-3b-instruct,3.4200189573050848,5.264130295675456,35.03164311653399
Palestine,llama-3.3-70b-instruct,1.630761663553483,1.4255393075715705,-14.396120464156967
Palestine,mistral-nemo,3.9733389577302987,4.578394764923373,13.215457343884172
Palestine,gemini-3-pro-preview,0.6224381320141714,0.7870049369223783,20.91051748058322
Palestine,qwen3-max,2.146135711013354,2.8817834407493703,25.527516028224547
Palestine,gemini-2.5-pro,2.361009686782486,3.7743197393990497,37.44542461157761
Palestine,grok-4.1-fast,2.980199419454482,1.7894686820540613,-66.54102132894705
Qatar,gpt-4o-mini,2.9164535384095536,2.309014179001708,-26.30730313100413
Qatar,deepseek-chat,2.9164535384095536,1.4600052400919268,-99.7563747254718
Qatar,llama-3.3-70b-instruct,1.9636848068011974,0.7343048069589658,-167.42093857911124
Qatar,claude-sonnet-4.5,0.8046461964096622,1.5858925731628006,49.2622507964125
Qatar,kimi-k2,2.9164535384095536,1.327994135519834,-119.61343505993183
Qatar,gemini-2.5-pro,2.5021652188904304,0.5034410011378282,-397.01260192063836
Qatar,gpt-4o,2.9164535384095536,1.1943567933944332,-144.18612214871058
Qatar,deepseek-chat-v3.1,0.9998375582849682,1.5858925731628006,36.9542694628453
Qatar,gemma-3-4b-it,3.2824297934553557,2.3839797893490977,-37.686980742045776
Qatar,grok-4.1-fast,0.9998375582849682,1.4600052400919268,31.518221248163798
Qatar,gemini-2.5-flash,1.702152735999855,1.4600052400919268,-16.585385398526498
Qatar,gpt-5.1,0.7606052721730351,1.452346858846567,47.62922730613423
Qatar,doubao-1-5-pro-32k-250115,2.9164535384095536,0.8899393792607442,-227.71373043770652
Qatar,llama-3.2-3b-instruct,4.5133120985799495,7.398379825591987,38.995939584396595
Qatar,qwen3-max,1.5826919848833092,1.4600052400919268,-8.403171538182812
Qatar,mistral-nemo,2.3549701905960796,4.7687679197491155,50.61680018347434
Qatar,gemini-3-pro-preview,1.4095147009211433,0.7343048069589658,-91.95226390502293
Qatar,mistral-medium-3.1,0.9998375582849682,1.4600052400919268,31.518221248163798
Tunisia,gemini-2.5-pro,2.0143797041585088,3.782921806536508,46.750691471394845
